@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
t/db/rc/FastClient/rsaEncrypt(byte[]),org.api.fake
t/db/rc/FastClient/rsaEncrypt(byte[]),org.rand.api
t/db/rc/FastClient/dispatchAuthentification(byte[]),org.api.fake
t/db/rc/FastClient/dispatchAuthentification(byte[]),org.rand.api
t/db/rc/FastClient/dispatchFinalizeHandshake(byte[]),org.api.fake
t/db/rc/FastClient/dispatchFinalizeHandshake(byte[]),org.rand.api
t/db/rc/FastClient/rsaDecrypt(byte[]),org.api.fake
t/db/rc/FastClient/rsaDecrypt(byte[]),org.rand.api
t/db/rc/FastClient/handleInput(),org.api.fake
t/db/rc/FastClient/handleInput(),org.rand.api
t/db/rc/activities/Master/onCreate(android.os.Bundle),org.api.fake
t/db/rc/activities/Master/onCreate(android.os.Bundle),org.rand.api
om/google/zxing/integration/android/IntentIntegrator/initiateScan(java.util.Collection),org.api.fake
om/google/zxing/integration/android/IntentIntegrator/initiateScan(java.util.Collection),org.rand.api
om/google/zxing/integration/android/IntentIntegrator/attachMoreExtras(android.content.Intent),org.api.fake
om/google/zxing/integration/android/IntentIntegrator/attachMoreExtras(android.content.Intent),org.rand.api
t/db/rc/controls/TouchSink/draw(android.graphics.Canvas),org.api.fake
t/db/rc/controls/TouchSink/draw(android.graphics.Canvas),org.rand.api
't/db/rc/activities/ScanAndConnect/onActivityResult(int,int,android.content.Intent)',org.api.fake
't/db/rc/activities/ScanAndConnect/onActivityResult(int,int,android.content.Intent)',org.rand.api
't/db/rc/activities/SettingsEditor/onActivityResult(int,int,android.content.Intent)',org.api.fake
't/db/rc/activities/SettingsEditor/onActivityResult(int,int,android.content.Intent)',org.rand.api
t/db/rc/FastClient/rsaEncrypt(byte[]),'javax/crypto/Cipher/doFinal(byte[],int,int) java/io/ByteArrayInputStream/ByteArrayInputStream(byte[]) java/lang/Exception/printStackTrace() java/io/ByteArrayOutputStream/ByteArrayOutputStream() java/io/DataOutputStream/DataOutputStream(java.io.OutputStream) java/io/ByteArrayOutputStream/toByteArray('
t/db/rc/FastClient/dispatchAuthentification(byte[]),'java/io/DataInputStream/readUnsignedShort() java/io/DataInputStream/readByte() java/io/IOException/IOException(java.lang.String) java/io/DataOutputStream/write(int) java/lang/StringBuilder/append(int) java/lang/StringBuilder/StringBuilder(java.lang.String) java/io/DataOutputStream/flush() java/io/DataInputStream/readFully(byte[]) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
t/db/rc/FastClient/dispatchFinalizeHandshake(byte[]),'java/io/DataOutputStream/write(byte[]) java/net/Socket/getInputStream() javax/crypto/Cipher/init(int,java.security.Key) java/io/DataInputStream/DataInputStream(java.io.InputStream) java/util/Random/Random() java/net/Socket/getOutputStream() java/security/KeyFactory/getInstance(java.lang.String) java/io/DataOutputStream/writeInt(int) javax/crypto/Cipher/getInstance(java.lang.String) java/security/KeyFactory/generatePublic(java.security.spec.KeySpec) java/security/spec/X509EncodedKeySpec/X509EncodedKeySpec(byte[]) java/io/DataOutputStream/DataOutputStream(java.io.OutputStream) java/io/ByteArrayOutputStream/toByteArray() java/io/ByteArrayOutputStream/ByteArrayOutputStream() java/util/Random/nextBytes(byte[]'
t/db/rc/FastClient/rsaDecrypt(byte[]),'java/io/DataInputStream/readInt() java/io/ByteArrayInputStream/ByteArrayInputStream(byte[]) java/lang/Exception/printStackTrace() java/io/ByteArrayOutputStream/write(byte[]) java/io/ByteArrayOutputStream/toByteArray() java/io/DataInputStream/available() java/io/DataInputStream/readFully(byte[]) java/io/ByteArrayOutputStream/ByteArrayOutputStream() java/io/DataInputStream/DataInputStream(java.io.InputStream) javax/crypto/Cipher/doFinal(byte[]'
t/db/rc/FastClient/handleInput(),'java/io/DataInputStream/readUTF() java/io/IOException/IOException(java.lang.String) java/io/DataOutputStream/write(byte[]) java/net/Socket/getInputStream() java/io/ByteArrayInputStream/ByteArrayInputStream(byte[]) java/io/DataInputStream/DataInputStream(java.io.InputStream) java/lang/String/equals(java.lang.Object) javax/crypto/Cipher/getInstance(java.lang.String) java/io/DataInputStream/readFloat() java/io/DataOutputStream/DataOutputStream(java.io.OutputStream) java/security/KeyPair/getPrivate() java/security/KeyPair/getPublic() java/io/DataInputStream/readByte() java/io/DataOutputStream/write(int) java/io/DataInputStream/close() java/io/DataOutputStream/close() java/io/DataInputStream/readInt() java/security/PublicKey/getEncoded() javax/crypto/Cipher/init(int,java.security.Key) java/io/DataOutputStream/flush() java/net/Socket/getOutputStream() java/io/DataOutputStream/writeShort(int) java/io/DataInputStream/readFully(byte[]'
