@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'ndroid/support/v4/app/NotificationCompatJellybean/getExtras(android.app.Notification)','java/lang/reflect/Field/getType() java/lang/reflect/Field/set(java.lang.Object,java.lang.Object) android/os/Bundle/Bundle() java/lang/reflect/Field/setAccessible(boolean) android/util/Log/e(java.lang.String,java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable'
'e/tutao/tutanota/alarms/AlarmNotification/fromJson(org.json.JSONObject)','de/tutao/tutanota/OperationType/values() java/util/ArrayList/ArrayList() org/json/JSONObject/getJSONObject(java.lang.String) java/util/List/add(java.lang.Object) org/json/JSONObject/isNull(java.lang.String) org/json/JSONObject/getString(java.lang.String) org/json/JSONObject/getInt(java.lang.String) org/json/JSONArray/getJSONObject(int) org/json/JSONArray/length() org/json/JSONObject/getJSONArray(java.lang.String'
'e/tutao/tutanota/Contact/lambda$findSuggestions$0$Contact(java.lang.String,java.lang.Void)','java/lang/RuntimeException/RuntimeException(java.lang.Throwable) org/json/JSONObject/put(java.lang.String,java.lang.Object) android/database/Cursor/close() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) org/json/JSONObject/JSONObject() org/json/JSONArray/JSONArray() org/json/JSONArray/put(java.lang.Object) android/app/Activity/getApplicationContext() android/database/Cursor/moveToNext() android/content/Context/getContentResolver() android/database/Cursor/getString(int'
'e/tutao/tutanota/Native/invokeMethod(java.lang.String,org.json.JSONArray)','java/lang/String/hashCode() org/json/JSONArray/getString(int) java/lang/StringBuilder/append(long) java/lang/Exception/Exception(java.lang.String) java/lang/StringBuilder/toString() java/util/Map/put(java.lang.Object,java.lang.Object) java/io/File/File(java.io.File,java.lang.String) org/json/JSONArray/getJSONArray(int) java/lang/StringBuilder/append(java.lang.String) java/lang/String/equals(java.lang.Object) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder() android/app/Activity/getFilesDir() java/lang/Boolean/valueOf(boolean) android/net/Uri/parse(java.lang.String) java/util/Map/containsKey(java.lang.Object) org/json/JSONArray/getJSONObject(int) android/net/Uri/toString('
'e/tutao/tutanota/Native/lambda$invoke$2$Native(java.lang.String)','org/json/JSONObject/get(java.lang.String) java/lang/Object/equals(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) org/json/JSONObject/JSONObject(java.lang.String) org/json/JSONObject/getString(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) org/json/JSONObject/getJSONArray(java.lang.String) java/util/Map/remove(java.lang.Object) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder('
'e/tutao/tutanota/Native/cancelNotifications(org.json.JSONArray)','java/lang/String/hashCode() java/util/ArrayList/ArrayList(int) android/app/NotificationManager/cancel(int) org/json/JSONArray/getString(int) java/util/ArrayList/add(java.lang.Object) android/app/Activity/getSystemService(java.lang.String) org/json/JSONArray/length() java/lang/Math/abs(int) android/app/Activity/startService(android.content.Intent) java/util/Objects/requireNonNull(java.lang.Object'
'ndroid/support/v4/app/NotificationCompatBuilder/addAction(android.support.v4.app.NotificationCompat$Action)','android/os/Bundle/Bundle(android.os.Bundle) android/os/Bundle/Bundle() android/app/Notification$Action$Builder/setAllowGeneratedReplies(boolean) android/app/Notification$Action$Builder/Notification$Action$Builder(int,java.lang.CharSequence,android.app.PendingIntent) android/app/Notification$Action$Builder/addExtras(android.os.Bundle) android/app/Notification$Builder/addAction(android.app.Notification$Action) android/app/Notification$Action$Builder/build() java/util/List/add(java.lang.Object) android/app/Notification$Action$Builder/addRemoteInput(android.app.RemoteInput) android/os/Bundle/putInt(java.lang.String,int) android/os/Bundle/putBoolean(java.lang.String,boolean) android/app/Notification$Action$Builder/setSemanticAction(int'
'ndroid/support/v4/app/NotificationCompatBuilder/buildInternal()','android/os/Bundle/Bundle(android.os.Bundle) java/util/Iterator/hasNext() android/os/Bundle/putAll(android.os.Bundle) android/app/Notification$Builder/setExtras(android.os.Bundle) android/app/Notification$Builder/getNotification() android/os/Bundle/keySet() android/app/Notification$Builder/build() android/os/Bundle/putSparseParcelableArray(java.lang.String,android.util.SparseArray) java/util/Iterator/next() android/os/Bundle/containsKey(java.lang.String) java/util/Set/iterator() android/os/Bundle/remove(java.lang.String) android/app/Notification/getGroup('
'e/tutao/tutanota/LogReader/getLogFile(android.content.Context)','java/lang/Process/getErrorStream() java/io/File/createNewFile() java/lang/Runtime/getRuntime() java/lang/StringBuilder/append(java.lang.String) java/lang/Runtime/exec(java.lang.String[]) java/io/File/mkdirs() java/lang/RuntimeException/RuntimeException(java.lang.String) java/lang/Process/exitValue() java/lang/Process/waitFor() android/net/Uri/fromFile(java.io.File) java/io/File/delete() java/lang/StringBuilder/toString() java/io/File/File(java.io.File,java.lang.String) java/lang/RuntimeException/RuntimeException(java.lang.Throwable) java/lang/StringBuilder/append(int) java/lang/StringBuilder/StringBuilder() java/io/File/getAbsolutePath() java/nio/charset/Charset/defaultCharset('
'e/tutao/tutanota/push/PushNotificationService/handlePushNotification(java.lang.String)','java/lang/Long/parseLong(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/RuntimeException/RuntimeException(java.lang.Throwable) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/append(long) java/io/FileNotFoundException/getMessage() java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() android/util/Log/w(java.lang.String,java.lang.Throwable) android/util/Log/d(java.lang.String,java.lang.String'
