@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/google/gson/internal/bind/MapTypeAdapterFactory$Adapter/write(com.google.gson.stream.JsonWriter,java.util.Map)','java/util/List/add(java.lang.Object) java/util/List/get(int) java/util/Map$Entry/getValue() java/util/Map/entrySet() java/util/ArrayList/ArrayList(int) java/lang/String/valueOf(java.lang.Object) java/util/List/size() java/util/Map/size() java/util/Set/iterator('
'iseguys/radar/helpers/GPSHelper/findClosestCity(android.location.Location)','java/lang/StringBuilder/append(java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() android/location/Location/distanceTo(android.location.Location) java/lang/Double/parseDouble(java.lang.String) android/location/Location/Location(java.lang.String) java/lang/StringBuilder/StringBuilder() android/location/Location/setLongitude(double) android/location/Location/setLatitude(double) android/content/res/Resources/getStringArray(int) java/lang/StringBuilder/toString() android/content/Context/getResources('
'iseguys/radar/conn/GPSHelper/findClosestCity(android.location.Location)','java/lang/StringBuilder/append(java.lang.String) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) android/widget/Toast/show() android/location/Location/distanceTo(android.location.Location) java/lang/Double/parseDouble(java.lang.String) android/location/Location/Location(java.lang.String) java/lang/StringBuilder/StringBuilder() android/location/Location/setLongitude(double) android/location/Location/setLatitude(double) android/content/res/Resources/getStringArray(int) java/lang/StringBuilder/toString() android/content/Context/getResources('
'iseguys/radar/conn/ImageDownloaderThread/run()','org/apache/http/entity/BufferedHttpEntity/getContent() org/apache/http/client/methods/HttpGet/HttpGet(java.net.URI) java/net/URI/create(java.lang.String) org/apache/http/client/methods/HttpGet/abort() org/apache/http/entity/BufferedHttpEntity/BufferedHttpEntity(org.apache.http.HttpEntity) org/apache/http/HttpResponse/getEntity() java/io/IOException/printStackTrace() org/apache/http/client/HttpClient/execute(org.apache.http.client.methods.HttpUriRequest) org/apache/http/impl/client/DefaultHttpClient/DefaultHttpClient() android/graphics/BitmapFactory/decodeStream(java.io.InputStream'
'om/google/gson/internal/bind/JsonTreeReader/nextDouble()','java/lang/IllegalStateException/IllegalStateException(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/Double/isNaN(double) java/lang/Double/isInfinite(double) java/lang/StringBuilder/StringBuilder() java/lang/NumberFormatException/NumberFormatException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/append(double) java/lang/StringBuilder/toString() com/google/gson/internal/bind/JsonTreeReader/isLenient('
'om/google/gson/Gson/getDelegateAdapter(com.google.gson.TypeAdapterFactory,com.google.gson.reflect.TypeToken)','java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Iterator/next() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/util/List/iterator() java/lang/StringBuilder/toString() java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/util/List/contains(java.lang.Object'
'om/google/gson/Gson/getAdapter(com.google.gson.reflect.TypeToken)','java/lang/ThreadLocal/remove() java/util/Map/put(java.lang.Object,java.lang.Object) java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Map/get(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/util/List/iterator() java/util/Map/remove(java.lang.Object) java/lang/StringBuilder/toString() java/lang/ThreadLocal/set(java.lang.Object) java/util/Iterator/next() java/util/HashMap/HashMap() java/lang/ThreadLocal/get('
'iseguys/radar/ui/RadarFragment/refresh()','android/widget/ImageView/setScaleType(android.widget.ImageView$ScaleType) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) wiseguys/radar/ui/RadarFragment/getResources() java/lang/String/equals(java.lang.Object) wiseguys/radar/ui/MainActivity/findViewById(int) wiseguys/radar/RadarLoader/execute(java.lang.Object[]) android/widget/ImageView/setImageResource(int) wiseguys/radar/ui/RadarFragment/getString(int) android/widget/TextView/setText(java.lang.CharSequence'
'om/google/gson/internal/bind/ReflectiveTypeAdapterFactory/getBoundFields(com.google.gson.Gson,com.google.gson.reflect.TypeToken,java.lang.Class)','java/lang/Class/isInterface() java/util/Map/put(java.lang.Object,java.lang.Object) java/lang/Class/getGenericSuperclass() java/lang/reflect/Field/setAccessible(boolean) java/lang/StringBuilder/append(java.lang.String) java/lang/reflect/Field/getGenericType() java/lang/StringBuilder/StringBuilder() java/util/List/get(int) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/util/LinkedHashMap/LinkedHashMap() java/lang/StringBuilder/toString() java/util/List/size() java/lang/StringBuilder/append(java.lang.Object) java/lang/Class/getDeclaredFields('
'iseguys/radar/RadarLoader/loadRadar()','java/lang/Integer/intValue() android/graphics/drawable/BitmapDrawable/BitmapDrawable(android.content.res.Resources,android.graphics.Bitmap) android/graphics/Bitmap/getWidth() android/content/SharedPreferences/getString(java.lang.String,java.lang.String) android/graphics/drawable/AnimationDrawable/AnimationDrawable() android/graphics/drawable/AnimationDrawable/addFrame(android.graphics.drawable.Drawable,int) android/graphics/drawable/LayerDrawable/LayerDrawable(android.graphics.drawable.Drawable[]) java/lang/Integer/valueOf(java.lang.String) android/content/res/Resources/getString(int) java/util/List/size() android/graphics/drawable/LayerDrawable/setLayerInset(int,int,int,int,int) java/util/List/get(int) android/content/Context/getResources() wiseguys/radar/RadarLoader/publishProgress(java.lang.Object[]'
