@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
'/a/c/a/b/c/c(org.xmlpull.v1.XmlPullParser,android.content.res.Resources)',org.api.fake
a/dungeons/sensordump/a$a/run(),org.api.fake
'/a/d/c/a/a/e(android.content.Context,android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)',org.api.fake
'/a/d/c/a/a/d(android.content.Context,android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)',org.api.fake
'ndroid/support/v7/view/menu/ActionMenuItemView/onMeasure(int,int)',org.api.fake
/a/d/c/a/b/a(android.graphics.drawable.Drawable),org.api.fake
'/a/c/a/b/d/b(android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)',org.api.fake
'/a/c/a/b/d/a(android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)',org.api.fake
'ndroid/support/v4/widget/NestedScrollView/onLayout(boolean,int,int,int,int)',org.api.fake
'ndroid/support/v4/widget/NestedScrollView/scrollTo(int,int)',org.api.fake
'ndroid/support/v4/widget/NestedScrollView/a(int,int)',org.api.fake
'ndroid/support/v4/widget/NestedScrollView/onMeasure(int,int)',org.api.fake
ndroid/support/v4/widget/NestedScrollView/onTouchEvent(android.view.MotionEvent),org.api.fake
ndroid/support/v4/widget/NestedScrollView/a(int),org.api.fake
ndroid/support/v4/widget/NestedScrollView/computeVerticalScrollRange(),org.api.fake
ndroid/support/v4/widget/NestedScrollView/a(android.graphics.Rect),org.api.fake
ndroid/support/v4/widget/NestedScrollView/onInterceptTouchEvent(android.view.MotionEvent),org.api.fake
ndroid/support/v4/widget/NestedScrollView/a(android.view.KeyEvent),org.api.fake
ndroid/support/v4/widget/NestedScrollView/e(),org.api.fake
ndroid/support/v4/widget/NestedScrollView/draw(android.graphics.Canvas),org.api.fake
a/dungeons/sensordump/b$b/run(),org.api.fake
'/a/c/a/b/f/a(android.content.Context,android.content.res.Resources,android.util.TypedValue,int,int,a.a.c.a.b.f$a,android.os.Handler,boolean)',org.api.fake
a/dungeons/sensordump/b/a(org.json.JSONObject),org.api.fake
a/dungeons/sensordump/b/a(android.content.SharedPreferences),org.api.fake
a/dungeons/sensordump/MainActivity/onSensorChanged(android.hardware.SensorEvent),org.api.fake
a/dungeons/sensordump/MainActivity/onCreate(android.os.Bundle),org.api.fake
ndroid/support/v4/graphics/drawable/d/a(android.graphics.drawable.Drawable),org.api.fake
a/dungeons/sensordump/c/onLocationChanged(android.location.Location),org.api.fake
'ndroid/support/v7/widget/c$d/setFrame(int,int,int,int)',org.api.fake
'ndroid/support/v7/widget/d0/a(android.app.SearchableInfo,java.lang.String,int)',org.api.fake
ndroid/support/v7/widget/d0/a(android.content.ComponentName),org.api.fake
ndroid/support/v7/widget/d0/b(java.lang.CharSequence),org.api.fake
ndroid/support/v7/widget/d0/b(java.lang.String),org.api.fake
ndroid/support/v7/widget/d0/b(android.net.Uri),org.api.fake
ndroid/support/v7/widget/d0/a(android.net.Uri),org.api.fake
'ndroid/support/v7/widget/d0/a(android.view.View,android.content.Context,android.database.Cursor)',org.api.fake
'ndroid/support/v7/widget/c0/onMeasure(int,int)',org.api.fake
ndroid/support/v7/widget/c0$d/b(),org.api.fake
'ndroid/support/v7/widget/SearchView/a(android.database.Cursor,int,java.lang.String)',org.api.fake
'ndroid/support/v7/widget/SearchView/a(java.lang.String,android.net.Uri,java.lang.String,java.lang.String,int,java.lang.String)',org.api.fake
'ndroid/support/v7/widget/SearchView/a(android.content.Intent,android.app.SearchableInfo)',org.api.fake
ndroid/support/v7/widget/SearchView/c(),org.api.fake
'ndroid/support/v7/widget/f/f(android.content.Context,int)',org.api.fake
'/a/c/b/b$b/a(android.graphics.Path,double,double,double,double,double,double,double,double,double)',org.api.fake
'/a/c/b/b$b/a(android.graphics.Path,float,float,float,float,float,float,float,boolean,boolean)',org.api.fake
'/a/c/b/b$b/a(android.graphics.Path,float[],char,char,float[])',org.api.fake
'/a/b/a/c/inflate(android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)',org.api.fake
/a/c/f/a$a/hashCode(),org.api.fake
/a/c/f/a$a/equals(java.lang.Object),org.api.fake
/a/c/f/a$a/toString(),org.api.fake
