@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'et/orleaf/android/wifistate/core/NetworkStateInfo/getExtraInfo()','java/text/NumberFormat/format(long) android/net/wifi/WifiInfo/getLinkSpeed() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(int) java/lang/StringBuilder/StringBuilder() java/text/NumberFormat/getNumberInstance('
'et/orleaf/android/wifistate/core/NetworkStateInfo/update()','android/net/wifi/WifiManager/getWifiState() android/net/NetworkInfo/getExtraInfo() android/net/wifi/WifiInfo/getSSID() android/net/NetworkInfo/getDetailedState() android/telephony/TelephonyManager/getDataState() java/lang/String/equals(java.lang.Object) android/net/NetworkInfo/getState() android/net/wifi/WifiManager/getConnectionInfo() android/net/wifi/WifiManager/getScanResults() android/content/Context/getResources() android/content/res/Resources/getString(int) net/orleaf/android/wifistate/core/NetworkStateInfo$States/compareTo(java.lang.Enum) android/net/ConnectivityManager/getNetworkInfo(int) android/net/NetworkInfo/isAvailable() android/net/wifi/WifiInfo/getSupplicantState('
'et/orleaf/android/wifistate/core/NetworkStateInfo/getMyIpAddress()','java/net/InetAddress/getHostAddress() net/orleaf/android/wifistate/core/NetworkStateInfo$States/equals(java.lang.Object) java/net/InetAddress/isLoopbackAddress() java/net/NetworkInterface/getNetworkInterfaces() java/net/SocketException/printStackTrace() android/net/wifi/WifiInfo/getIpAddress() java/util/Enumeration/hasMoreElements() java/util/Enumeration/nextElement() android/net/wifi/WifiManager/getDhcpInfo() java/net/InetAddress/isAnyLocalAddress() java/net/NetworkInterface/getInetAddresses() java/net/InetAddress/isLinkLocalAddress('
'et/orleaf/android/wifistate/core/WifiStateStatusActivity/onResume()','android/os/Handler/postDelayed(java.lang.Runnable,long) java/lang/StringBuilder/append(java.lang.String) java/util/Random/nextInt(int) android/widget/TextView/setText(java.lang.CharSequence) java/util/Random/Random() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString() net/orleaf/android/wifistate/core/WifiStateStatusActivity/findViewById(int) android/app/Activity/onResume() net/orleaf/android/wifistate/core/WifiStateStatusActivity/getResources() android/content/res/Resources/getStringArray(int'
'et/orleaf/android/wifistate/core/WifiStateStatusActivity/onCreateContextMenu(android.view.ContextMenu,android.view.View,android.view.ContextMenu$ContextMenuInfo)','android/view/ContextMenu/setHeaderTitle(int) android/app/Activity/onCreateContextMenu(android.view.ContextMenu,android.view.View,android.view.ContextMenu$ContextMenuInfo) java/lang/String/length() java/lang/String/substring(int,int) android/net/wifi/WifiManager/getConfiguredNetworks() java/lang/String/endsWith(java.lang.String) java/util/List/size() android/view/ContextMenu/add(int,int,int,java.lang.CharSequence) net/orleaf/android/wifistate/core/WifiStateStatusActivity/getSystemService(java.lang.String) java/lang/String/startsWith(java.lang.String) java/util/List/get(int'
'et/orleaf/android/wifistate/core/WifiStateStatusActivity/onCreate(android.os.Bundle)','net/orleaf/android/wifistate/core/WifiStateStatusActivity/registerForContextMenu(android.view.View) android/view/Window/setFeatureDrawableResource(int,int) android/widget/ToggleButton/setEnabled(boolean) android/widget/ToggleButton/setOnClickListener(android.view.View$OnClickListener) android/widget/Button/setOnClickListener(android.view.View$OnClickListener) net/orleaf/android/wifistate/core/WifiStateStatusActivity/findViewById(int) net/orleaf/android/wifistate/core/WifiStateStatusActivity/setContentView(int) android/widget/Button/setOnLongClickListener(android.view.View$OnLongClickListener) net/orleaf/android/wifistate/core/WifiStateStatusActivity/getWindow() android/app/Activity/onCreate(android.os.Bundle) net/orleaf/android/wifistate/core/WifiStateStatusActivity/requestWindowFeature(int) android/widget/Button/setEnabled(boolean'
'et/orleaf/android/wifistate/core/preferences/WifiStatePreferencesActivity/onPreferenceTreeClick(android.preference.PreferenceScreen,android.preference.Preference)','android/content/Intent/putExtra(java.lang.String,java.lang.String) android/content/Intent/setClass(android.content.Context,java.lang.Class) android/content/Intent/Intent(java.lang.String,android.net.Uri) net/orleaf/android/wifistate/core/preferences/WifiStatePreferencesActivity/startActivity(android.content.Intent) java/lang/StringBuilder/StringBuilder() android/net/Uri/parse(java.lang.String) android/content/Intent/Intent(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) android/content/Intent/Intent('
'et/orleaf/android/AssetsReader/getText(java.lang.String)','java/io/BufferedReader/close() java/lang/StringBuilder/append(java.lang.String) android/content/res/AssetManager/open(java.lang.String) java/util/Locale/getLanguage() java/util/Locale/getDefault() java/lang/StringBuilder/StringBuilder() java/io/InputStreamReader/InputStreamReader(java.io.InputStream) java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/BufferedReader/readLine() java/lang/StringBuilder/toString() android/content/Context/getAssets('
'et/orleaf/android/wifistate/core/WifiStateReceiver/showNotificationIcon(android.content.Context,int,net.orleaf.android.wifistate.core.NetworkStateInfo,java.lang.String)','android/app/PendingIntent/getService(android.content.Context,int,android.content.Intent,int) android/app/NotificationManager/notify(int,android.app.Notification) java/lang/StringBuilder/StringBuilder() java/lang/System/currentTimeMillis() android/content/res/Resources/getString(int) android/content/Intent/Intent(android.content.Context,java.lang.Class) java/lang/StringBuilder/append(java.lang.String) android/graphics/BitmapFactory/decodeResource(android.content.res.Resources,int) android/content/Context/getSystemService(java.lang.String) java/lang/StringBuilder/toString() android/content/Context/getResources('
'et/orleaf/android/wifistate/core/WifiStateReceiver/onReceive(android.content.Context,android.content.Intent)','android/content/Context/getPackageName() android/telephony/TelephonyManager/listen(android.telephony.PhoneStateListener,int) android/net/Uri/fromParts(java.lang.String,java.lang.String,java.lang.String) android/content/Intent/getBooleanExtra(java.lang.String,boolean) android/content/Intent/getData() android/content/Context/getResources() android/content/res/Resources/getIdentifier(java.lang.String,java.lang.String,java.lang.String) android/content/Intent/getAction() java/lang/String/format(java.lang.String,java.lang.Object[]) java/lang/String/equals(java.lang.Object) android/content/Context/getSystemService(java.lang.String) android/net/Uri/equals(java.lang.Object'
'ndroid/support/v4/app/NotificationCompatHoneycomb/add(android.content.Context,android.app.Notification,java.lang.CharSequence,java.lang.CharSequence,java.lang.CharSequence,android.widget.RemoteViews,int,android.app.PendingIntent,android.app.PendingIntent,android.graphics.Bitmap)','android/app/Notification$Builder/setTicker(java.lang.CharSequence,android.widget.RemoteViews) android/app/Notification$Builder/setLargeIcon(android.graphics.Bitmap) android/app/Notification$Builder/setDefaults(int) android/app/Notification$Builder/setFullScreenIntent(android.app.PendingIntent,boolean) android/app/Notification$Builder/setLights(int,int,int) android/app/Notification$Builder/setAutoCancel(boolean) android/app/Notification$Builder/getNotification() android/app/Notification$Builder/setSound(android.net.Uri,int) android/app/Notification$Builder/setVibrate(long[]) android/app/Notification$Builder/setOngoing(boolean) android/app/Notification$Builder/setContentTitle(java.lang.CharSequence) android/app/Notification$Builder/setContentIntent(android.app.PendingIntent) android/app/Notification$Builder/setNumber(int) android/app/Notification$Builder/setOnlyAlertOnce(boolean) android/app/Notification$Builder/setContentText(java.lang.CharSequence) android/app/Notification$Builder/setContentInfo(java.lang.CharSequence) android/app/Notification$Builder/Notification$Builder(android.content.Context) android/app/Notification$Builder/setContent(android.widget.RemoteViews) android/app/Notification$Builder/setDeleteIntent(android.app.PendingIntent) android/app/Notification$Builder/setSmallIcon(int,int) android/app/Notification$Builder/setWhen(long'
