@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
c/openframeworks/OFAndroid$1/run(),org.api.fake
c/openframeworks/OFAndroid$5/run(),org.api.fake
c/openframeworks/OFAndroidVideoPlayer/loadMovie(java.lang.String),org.api.fake
c/openframeworks/OFAndroid$11/run(),org.api.fake
c/openframeworks/OFAndroid$12/run(),org.api.fake
'c/openframeworks/OFGestureListener$1/onTouch(android.view.View,android.view.MotionEvent)',org.api.fake
c/openframeworks/OFAndroid/getStringRes(java.lang.String),org.api.fake
c/openframeworks/OFAndroid$1/run(),'java/util/zip/ZipEntry/isDirectory() android/content/SharedPreferences$Editor/commit() java/lang/StringBuilder/StringBuilder() android/os/StatFs/getBlockSize() java/io/File/mkdirs() android/content/SharedPreferences$Editor/putLong(java.lang.String,long) java/lang/StringBuilder/append(double) java/util/zip/ZipInputStream/getNextEntry() java/lang/Class/forName(java.lang.String) android/os/StatFs/StatFs(java.lang.String) java/util/zip/ZipEntry/getSize() java/util/zip/ZipInputStream/ZipInputStream(java.io.InputStream) java/lang/Class/getField(java.lang.String) java/io/File/isDirectory() android/content/pm/PackageManager/getApplicationInfo(java.lang.String,int) android/content/res/Resources/getText(int) android/content/SharedPreferences/getLong(java.lang.String,long) java/util/zip/ZipEntry/getName() cc/openframeworks/OFActivity/getPackageManager() android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/append(boolean) java/io/File/File(java.lang.String) cc/openframeworks/OFActivity/getPreferences(int) java/io/File/lastModified() java/lang/String/equals(java.lang.Object) android/util/Log/e(java.lang.String,java.lang.String) java/io/InputStream/close() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) cc/openframeworks/OFActivity/getResources() android/os/StatFs/getAvailableBlocks() android/content/SharedPreferences/edit() java/lang/String/substring(int) java/util/zip/ZipInputStream/close() java/lang/Class/getDeclaredFields() java/lang/reflect/Field/getInt(java.lang.Object) java/lang/String/lastIndexOf(java.lang.String) java/lang/NullPointerException/NullPointerException() java/lang/Exception/Exception() android/content/res/Resources/openRawResource(int) java/lang/StringBuilder/toString() java/lang/Exception/getMessage('
c/openframeworks/OFAndroid$5/run(),'java/lang/Class/forName(java.lang.String) android/util/Log/w(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/Class/getField(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() android/widget/CompoundButton/setChecked(boolean) java/lang/reflect/Field/getInt(java.lang.Object) java/lang/StringBuilder/toString() cc/openframeworks/OFActivity/findViewById(int'
c/openframeworks/OFAndroidVideoPlayer/loadMovie(java.lang.String),'java/lang/StringBuilder/append(java.lang.String) android/media/MediaPlayer/setDataSource(java.lang.String) android/media/MediaPlayer/prepare() java/lang/StringBuilder/StringBuilder() android/media/MediaPlayer/reset() java/lang/StringBuilder/toString() android/media/MediaPlayer/setOnVideoSizeChangedListener(android.media.MediaPlayer$OnVideoSizeChangedListener) android/media/MediaPlayer/setOnCompletionListener(android.media.MediaPlayer$OnCompletionListener) android/media/MediaPlayer/setOnPreparedListener(android.media.MediaPlayer$OnPreparedListener) android/media/MediaPlayer/setLooping(boolean) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) android/media/MediaPlayer/MediaPlayer('
c/openframeworks/OFAndroid$11/run(),'android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) android/app/AlertDialog$Builder/setNegativeButton(int,android.content.DialogInterface$OnClickListener) android/widget/EditText/EditText(android.content.Context) android/app/AlertDialog$Builder/show() android/app/AlertDialog$Builder/setNeutralButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog$Builder/setCancelable(boolean) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/setView(android.view.View'
c/openframeworks/OFAndroid$12/run(),'android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) android/app/AlertDialog$Builder/setCancelable(boolean) android/widget/ListView/ListView(android.content.Context) android/app/AlertDialog$Builder/setView(android.view.View) android/app/AlertDialog$Builder/show() android/app/AlertDialog$Builder/setNeutralButton(int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/widget/ListView/setAdapter(android.widget.ListAdapter) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.lang.Object[]'
'c/openframeworks/OFGestureListener$1/onTouch(android.view.View,android.view.MotionEvent)','android/view/MotionEvent/getTouchMajor(int) android/view/MotionEvent/getY(int) android/view/MotionEvent/getHistoricalX(int,int) android/view/MotionEvent/getHistorySize() android/view/MotionEvent/getHistoricalTouchMajor(int,int) android/view/MotionEvent/getPressure(int) android/view/MotionEvent/getHistoricalTouchMinor(int,int) android/view/ScaleGestureDetector/onTouchEvent(android.view.MotionEvent) android/view/MotionEvent/getX(int) android/view/MotionEvent/getPointerId(int) android/view/GestureDetector/onTouchEvent(android.view.MotionEvent) android/view/MotionEvent/getTouchMinor(int) android/view/MotionEvent/getHistoricalPressure(int,int) android/view/MotionEvent/getHistoricalY(int,int) android/view/MotionEvent/getOrientation(int) android/view/MotionEvent/getPointerCount() android/view/MotionEvent/getAction() android/view/MotionEvent/getHistoricalOrientation(int,int) android/view/MotionEvent/getX() android/view/MotionEvent/getY('
c/openframeworks/OFAndroid/getStringRes(java.lang.String),'java/lang/Class/forName(java.lang.String) java/lang/Class/getField(java.lang.String) android/content/res/Resources/getText(int) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/reflect/Field/getInt(java.lang.Object) java/lang/StringBuilder/toString() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) cc/openframeworks/OFActivity/getResources('
c/openframeworks/OFAndroid/initView(),'java/lang/Class/forName(java.lang.String) android/util/Log/v(java.lang.String,java.lang.String) cc/openframeworks/OFActivity/findViewById(int) java/lang/Class/getField(java.lang.String) android/view/LayoutInflater/inflate(int,android.view.ViewGroup) java/lang/StringBuilder/append(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder() cc/openframeworks/OFActivity/setContentView(android.view.View) java/lang/reflect/Field/getInt(java.lang.Object) cc/openframeworks/OFActivity/getLayoutInflater() java/lang/StringBuilder/toString('
'c/openframeworks/OFAndroid/moveOldData(java.lang.String,java.lang.String)','java/io/File/getName() java/io/File/isDirectory() java/lang/StringBuilder/append(java.lang.String) java/io/File/File(java.lang.String) java/io/File/getAbsolutePath() java/io/File/listFiles() java/lang/StringBuilder/StringBuilder() java/io/File/renameTo(java.io.File) java/lang/StringBuilder/toString() java/io/File/equals(java.lang.Object'
c/openframeworks/OFAndroid/getRealExternalStorageDirectory(android.content.Context),'java/io/File/canWrite() java/lang/StringBuilder/append(java.lang.String) java/io/File/File(java.lang.String) java/lang/StringBuilder/StringBuilder() android/content/Context/getExternalFilesDir(java.lang.String) java/io/File/getPath() java/lang/StringBuilder/toString() java/io/File/exists() android/util/Log/i(java.lang.String,java.lang.String'
