@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/cocos2dx/lib/Cocos2dxVideoView$4/onError(android.media.MediaPlayer,int,int)','android/app/AlertDialog$Builder/setCancelable(boolean) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/setMessage(int) android/app/AlertDialog$Builder/show() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) java/lang/StringBuilder/toString() android/content/res/Resources/getIdentifier(java.lang.String,java.lang.String,java.lang.String) android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) java/lang/StringBuilder/append(int) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) android/media/MediaPlayer$OnErrorListener/onError(android.media.MediaPlayer,int,int) org/cocos2dx/lib/Cocos2dxActivity/getResources('
'rg/cocos2dx/lib/Cocos2dxTextInputWraper/onEditorAction(android.widget.TextView,int,android.view.KeyEvent)','java/lang/String/compareTo(java.lang.String) org/cocos2dx/lib/Cocos2dxGLSurfaceView/requestFocus() java/lang/StringBuilder/append(char) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/String/charAt(int) java/lang/String/length() java/lang/CharSequence/toString() android/widget/TextView/getText() java/lang/StringBuilder/StringBuilder('
'rg/cocos2dx/lib/Cocos2dxGLSurfaceView$1/handleMessage(android.os.Message)','org/cocos2dx/lib/Cocos2dxGLSurfaceView/getContext() android/view/inputmethod/InputMethodManager/hideSoftInputFromWindow(android.os.IBinder,int) org/cocos2dx/lib/Cocos2dxEditText/requestFocus() org/cocos2dx/lib/Cocos2dxEditText/addTextChangedListener(android.text.TextWatcher) org/cocos2dx/lib/Cocos2dxEditText/append(java.lang.CharSequence) org/cocos2dx/lib/Cocos2dxGLSurfaceView/requestFocus() org/cocos2dx/lib/Cocos2dxEditText/setText(java.lang.CharSequence) org/cocos2dx/lib/Cocos2dxEditText/getWindowToken() android/content/Context/getSystemService(java.lang.String) android/util/Log/d(java.lang.String,java.lang.String) android/view/inputmethod/InputMethodManager/showSoftInput(android.view.View,int) org/cocos2dx/lib/Cocos2dxEditText/removeTextChangedListener(android.text.TextWatcher'
'rg/cocos2dx/lib/Cocos2dxVideoView/openVideo()','org/cocos2dx/lib/Cocos2dxActivity/getAssets() java/lang/StringBuilder/append(java.lang.String) android/content/res/AssetManager/openFd(java.lang.String) android/content/res/AssetFileDescriptor/getStartOffset() java/lang/StringBuilder/StringBuilder() android/content/Intent/Intent(java.lang.String) android/media/MediaPlayer$OnErrorListener/onError(android.media.MediaPlayer,int,int) android/media/MediaPlayer/setDisplay(android.view.SurfaceHolder) android/content/Intent/putExtra(java.lang.String,java.lang.String) android/media/MediaPlayer/setOnVideoSizeChangedListener(android.media.MediaPlayer$OnVideoSizeChangedListener) android/media/MediaPlayer/setOnBufferingUpdateListener(android.media.MediaPlayer$OnBufferingUpdateListener) android/media/MediaPlayer/setOnCompletionListener(android.media.MediaPlayer$OnCompletionListener) android/util/Log/w(java.lang.String,java.lang.String,java.lang.Throwable) android/media/MediaPlayer/setOnPreparedListener(android.media.MediaPlayer$OnPreparedListener) android/content/res/AssetFileDescriptor/getFileDescriptor() android/media/MediaPlayer/prepareAsync() android/media/MediaPlayer/setOnErrorListener(android.media.MediaPlayer$OnErrorListener) android/media/MediaPlayer/setDataSource(java.io.FileDescriptor,long,long) android/media/MediaPlayer/setDataSource(android.content.Context,android.net.Uri) android/media/MediaPlayer/setScreenOnWhilePlaying(boolean) org/cocos2dx/lib/Cocos2dxActivity/sendBroadcast(android.content.Intent) android/media/MediaPlayer/MediaPlayer() java/lang/StringBuilder/append(java.lang.Object) android/media/MediaPlayer/setAudioStreamType(int) java/lang/StringBuilder/toString() android/content/res/AssetFileDescriptor/getLength('
'rg/cocos2dx/lib/Cocos2dxMusic/createMediaplayer(java.lang.String)','android/content/res/AssetFileDescriptor/getFileDescriptor() android/media/MediaPlayer/prepare() java/io/FileInputStream/FileInputStream(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/String/startsWith(java.lang.String) android/media/MediaPlayer/setDataSource(java.io.FileDescriptor) android/media/MediaPlayer/setDataSource(java.io.FileDescriptor,long,long) java/lang/StringBuilder/append(java.lang.String) android/content/res/AssetManager/openFd(java.lang.String) android/content/res/AssetFileDescriptor/getStartOffset() java/io/FileInputStream/getFD() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) android/media/MediaPlayer/MediaPlayer() java/io/FileInputStream/close() android/media/MediaPlayer/setVolume(float,float) java/lang/StringBuilder/toString() android/content/Context/getAssets() android/content/res/AssetFileDescriptor/getLength() java/lang/Exception/getMessage('
'rg/cocos2dx/lib/Cocos2dxHttpURLConnection/getResponseHeaderByKey(java.net.HttpURLConnection,java.lang.String)','java/lang/String/equalsIgnoreCase(java.lang.String) java/util/Iterator/hasNext() java/net/HttpURLConnection/getHeaderFields() java/util/Iterator/next() java/net/URL/getHost() java/util/Map$Entry/getValue() java/util/Map/entrySet() java/net/HttpURLConnection/getURL() java/util/Map$Entry/getKey() java/util/Set/iterator('
'rg/cocos2dx/lib/Cocos2dxHttpURLConnection/getResponseContent(java.net.HttpURLConnection)','java/io/DataInputStream/read(byte[],int,int) java/io/DataInputStream/DataInputStream(java.io.InputStream) java/io/ByteArrayOutputStream/write(byte[],int,int) android/util/Log/e(java.lang.String,java.lang.String) java/net/HttpURLConnection/getErrorStream() java/lang/Exception/toString() java/io/ByteArrayOutputStream/close() java/io/ByteArrayOutputStream/ByteArrayOutputStream() java/net/HttpURLConnection/getInputStream() java/io/ByteArrayOutputStream/toByteArray('
'rg/cocos2dx/lib/Cocos2dxHttpURLConnection/setVerifySSL(java.net.HttpURLConnection,java.lang.String)','android/app/Activity/getAssets() javax/net/ssl/SSLContext/getInstance(java.lang.String) java/security/cert/X509Certificate/getSubjectDN() java/security/KeyStore/setCertificateEntry(java.lang.String,java.security.cert.Certificate) javax/net/ssl/TrustManagerFactory/getTrustManagers() java/security/cert/CertificateFactory/generateCertificate(java.io.InputStream) javax/net/ssl/HttpsURLConnection/setSSLSocketFactory(javax.net.ssl.SSLSocketFactory) java/lang/StringBuilder/StringBuilder() java/lang/String/substring(int) java/security/KeyStore/load(java.io.InputStream,char[]) javax/net/ssl/SSLContext/getSocketFactory() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/io/PrintStream/println(java.lang.String) java/lang/String/length() java/security/KeyStore/getDefaultType() android/content/res/AssetManager/open(java.lang.String) javax/net/ssl/TrustManagerFactory/init(java.security.KeyStore) java/io/FileInputStream/FileInputStream(java.lang.String) java/security/cert/CertificateFactory/getInstance(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/io/InputStream/close() javax/net/ssl/SSLContext/init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom) java/security/KeyStore/getInstance(java.lang.String) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/lang/String/startsWith(java.lang.String) javax/net/ssl/TrustManagerFactory/getDefaultAlgorithm() java/lang/StringBuilder/append(java.lang.Object) javax/net/ssl/TrustManagerFactory/getInstance(java.lang.String) java/lang/Exception/toString('
'rg/cocos2dx/lib/Cocos2dxHttpURLConnection/combinCookies(java.util.List,java.lang.String)','java/lang/String/equalsIgnoreCase(java.lang.String) java/lang/String/split(java.lang.String) java/util/Iterator/hasNext() java/util/Iterator/next() java/lang/String/substring(int,int) java/lang/String/substring(int) java/lang/StringBuilder/append(char) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim() java/lang/StringBuilder/StringBuilder() java/lang/String/indexOf(java.lang.String) java/util/List/iterator('
'rg/cocos2dx/lib/Cocos2dxHttpURLConnection/getResponseHeaderByIdx(java.net.HttpURLConnection,int)','java/util/Iterator/hasNext() java/net/HttpURLConnection/getHeaderFields() java/util/Iterator/next() java/lang/StringBuilder/StringBuilder() java/util/Map$Entry/getValue() java/util/Map/entrySet() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/util/Set/iterator('
