@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
ndroid/support/v7/widget/ah/b(android.net.Uri),org.api.fake
ndroid/support/v7/widget/ah/b(android.net.Uri),org.rand.api
'ndroid/support/v7/widget/ah/a(android.app.SearchableInfo,java.lang.String,int)',org.api.fake
'ndroid/support/v7/widget/ah/a(android.app.SearchableInfo,java.lang.String,int)',org.rand.api
ndroid/support/v7/widget/ah/b(android.content.ComponentName),org.api.fake
ndroid/support/v7/widget/ah/b(android.content.ComponentName),org.rand.api
ndroid/support/v7/widget/ah/b(java.lang.CharSequence),org.api.fake
ndroid/support/v7/widget/ah/b(java.lang.CharSequence),org.rand.api
ndroid/support/v7/widget/ah/a(java.lang.String),org.api.fake
ndroid/support/v7/widget/ah/a(java.lang.String),org.rand.api
'ndroid/support/v7/widget/ah/a(android.view.View,android.content.Context,android.database.Cursor)',org.api.fake
'ndroid/support/v7/widget/ah/a(android.view.View,android.content.Context,android.database.Cursor)',org.rand.api
ndroid/support/v7/widget/ah/a(android.net.Uri),org.api.fake
ndroid/support/v7/widget/ah/a(android.net.Uri),org.rand.api
ndroid/support/v7/internal/view/menu/l/a(android.os.IBinder),org.api.fake
ndroid/support/v7/internal/view/menu/l/a(android.os.IBinder),org.rand.api
'ndroid/support/v7/internal/view/menu/l/onKey(android.content.DialogInterface,int,android.view.KeyEvent)',org.api.fake
'ndroid/support/v7/internal/view/menu/l/onKey(android.content.DialogInterface,int,android.view.KeyEvent)',org.rand.api
om/canaltinova/noted/a/a(int),org.api.fake
om/canaltinova/noted/a/a(int),org.rand.api
om/canaltinova/noted/a/a(),org.api.fake
om/canaltinova/noted/a/a(),org.rand.api
om/canaltinova/noted/MainActivity/onCreate(android.os.Bundle),org.api.fake
om/canaltinova/noted/MainActivity/onCreate(android.os.Bundle),org.rand.api
om/canaltinova/noted/MainActivity/j(),org.api.fake
om/canaltinova/noted/MainActivity/j(),org.rand.api
'ndroid/support/v7/internal/widget/ActionBarOverlayLayout/onMeasure(int,int)',org.api.fake
'ndroid/support/v7/internal/widget/ActionBarOverlayLayout/onMeasure(int,int)',org.rand.api
'ndroid/support/v7/internal/widget/ActionBarOverlayLayout/onLayout(boolean,int,int,int,int)',org.api.fake
'ndroid/support/v7/internal/widget/ActionBarOverlayLayout/onLayout(boolean,int,int,int,int)',org.rand.api
ndroid/support/v7/app/ActionBarActivityDelegateBase/p(),org.api.fake
ndroid/support/v7/app/ActionBarActivityDelegateBase/p(),org.rand.api
ndroid/support/v7/app/ActionBarActivityDelegateBase/e(int),org.api.fake
ndroid/support/v7/app/ActionBarActivityDelegateBase/e(int),org.rand.api
ndroid/support/v7/app/ActionBarActivityDelegateBase/a(android.support.v7.b.b),org.api.fake
