@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'et/georgewhiteside/android/abstractart/Enemy/loadAttributes(int)','java/nio/ShortBuffer/slice() java/nio/ShortBuffer/position(int) java/nio/ByteBuffer/getShort(int) java/nio/ByteBuffer/slice() android/util/Log/e(java.lang.String,java.lang.String) java/nio/ByteBuffer/position(int) java/nio/ShortBuffer/get('
'et/georgewhiteside/android/abstractart/Enemy/loadBattleSprite(int)','java/nio/ByteBuffer/allocate(int) java/io/IOException/printStackTrace() android/content/Context/getCacheDir() java/nio/ByteBuffer/order(java.nio.ByteOrder) android/graphics/Bitmap/copyPixelsToBuffer(java.nio.Buffer) java/nio/ByteBuffer/position(int) java/nio/IntBuffer/put(int) java/io/File/mkdirs() android/graphics/BitmapFactory/decodeFile(java.lang.String) java/nio/ByteBuffer/asIntBuffer() java/io/File/File(java.io.File,java.lang.String) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/util/Arrays/fill(byte[],byte) java/io/File/exists() java/lang/StringBuilder/StringBuilder(java.lang.String) java/nio/ByteBuffer/slice() java/nio/ByteBuffer/getInt() android/graphics/Bitmap/compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream) java/nio/ByteBuffer/get() android/util/Log/e(java.lang.String,java.lang.String) java/nio/ByteBuffer/wrap(byte[],int,int) android/graphics/Bitmap/createBitmap(int,int,android.graphics.Bitmap$Config) java/io/FileOutputStream/close() android/graphics/Bitmap/copyPixelsFromBuffer(java.nio.Buffer) java/io/File/getPath() java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/StringBuilder/toString() java/io/FileNotFoundException/printStackTrace() java/io/File/getParentFile() java/lang/Exception/getMessage('
'et/georgewhiteside/android/abstractart/ImageLoader/queueImageLoad(int,net.georgewhiteside.android.abstractart.settings.ThumbnailAdapter$ViewHolder)','android/util/Log/w(java.lang.String,java.lang.String) android/content/Context/getCacheDir() java/lang/StringBuilder/append(java.lang.String) java/io/File/File(java.io.File,java.lang.String) java/lang/String/valueOf(java.lang.Object) java/io/File/exists() java/lang/StringBuilder/StringBuilder(java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'et/georgewhiteside/android/abstractart/settings/ThumbnailAdapter/getView(int,android.view.View,android.view.ViewGroup)','java/lang/Math/ceil(double) android/view/LayoutInflater/inflate(int,android.view.ViewGroup) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/view/View/findViewById(int) android/widget/FrameLayout/setLayoutParams(android.view.ViewGroup$LayoutParams) java/lang/Math/min(int,int) android/view/View/getTag() java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/Math/max(double,double) java/lang/Integer/valueOf(int) android/widget/ViewSwitcher/setDisplayedChild(int) android/widget/FrameLayout$LayoutParams/FrameLayout$LayoutParams(int,int) java/lang/StringBuilder/toString() android/view/View/setTag(java.lang.Object'
'et/georgewhiteside/android/abstractart/Wallpaper$AbstractArtEngine$RenderRunnable/refresh()','java/lang/Integer/intValue() java/lang/String/equals(java.lang.Object) java/lang/Integer/valueOf(java.lang.String) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) java/lang/Long/valueOf(java.lang.String) android/os/Handler/removeCallbacks(java.lang.Runnable) android/os/Handler/postDelayed(java.lang.Runnable,long) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) java/lang/Long/longValue('
'et/georgewhiteside/android/abstractart/GLOffscreenSurface/configure()','javax/microedition/khronos/egl/EGLContext/getEGL() javax/microedition/khronos/egl/EGL10/eglCreatePbufferSurface(javax.microedition.khronos.egl.EGLDisplay,javax.microedition.khronos.egl.EGLConfig,int[]) java/lang/Thread/getName() android/util/Log/e(java.lang.String,java.lang.String) javax/microedition/khronos/egl/EGL10/eglMakeCurrent(javax.microedition.khronos.egl.EGLDisplay,javax.microedition.khronos.egl.EGLSurface,javax.microedition.khronos.egl.EGLSurface,javax.microedition.khronos.egl.EGLContext) java/lang/RuntimeException/RuntimeException(java.lang.String) javax/microedition/khronos/egl/EGL10/eglInitialize(javax.microedition.khronos.egl.EGLDisplay,int[]) javax/microedition/khronos/egl/EGLContext/getGL() java/lang/Thread/currentThread() javax/microedition/khronos/egl/EGL10/eglGetDisplay(java.lang.Object'
'et/georgewhiteside/android/abstractart/Layer/loadImage(int)','java/nio/ByteBuffer/allocate(int) java/io/IOException/printStackTrace() java/io/File/File(java.io.File,java.lang.String) java/lang/StringBuilder/append(java.lang.String) android/graphics/Bitmap/compress(android.graphics.Bitmap$CompressFormat,int,java.io.OutputStream) android/graphics/Bitmap/createBitmap(int,int,android.graphics.Bitmap$Config) java/nio/ByteBuffer/array() java/io/File/mkdirs() java/lang/Integer/valueOf(int) java/io/FileOutputStream/close() android/content/Context/getCacheDir() android/graphics/Bitmap/copyPixelsToBuffer(java.nio.Buffer) java/lang/String/format(java.lang.String,java.lang.Object[]) java/io/File/exists() java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/nio/ByteBuffer/wrap(byte[]) android/graphics/BitmapFactory/decodeFile(java.lang.String) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/graphics/Bitmap/copyPixelsFromBuffer(java.nio.Buffer) java/io/File/getPath() java/io/FileOutputStream/FileOutputStream(java.io.File) java/lang/StringBuilder/toString() java/io/FileNotFoundException/printStackTrace() java/io/File/getParentFile() java/lang/String/valueOf(int'
'et/georgewhiteside/android/abstractart/settings/BackgroundSelector/onCreate(android.os.Bundle)','android/opengl/GLSurfaceView/setRenderMode(int) android/widget/ImageView/post(java.lang.Runnable) android/widget/Toast/show() android/widget/TextView/setText(java.lang.CharSequence) android/app/Activity/onCreate(android.os.Bundle) android/widget/TextView/setTextColor(int) android/widget/TextView/setBackgroundColor(int) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) android/widget/TextView/startAnimation(android.view.animation.Animation) net/georgewhiteside/android/abstractart/UniformGridView/setAdapter(android.widget.ListAdapter) android/view/animation/AnimationSet/addAnimation(android.view.animation.Animation) net/georgewhiteside/android/abstractart/settings/BackgroundSelector/findViewById(int) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) net/georgewhiteside/android/abstractart/settings/BackgroundSelector/getApplicationContext() android/view/animation/AlphaAnimation/AlphaAnimation(float,float) android/opengl/GLSurfaceView/setRenderer(android.opengl.GLSurfaceView$Renderer) net/georgewhiteside/android/abstractart/UniformGridView/setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener) android/view/animation/AnimationSet/AnimationSet(boolean) android/view/animation/AnimationSet/setFillAfter(boolean) net/georgewhiteside/android/abstractart/UniformGridView/setOnItemClickListener(android.widget.AdapterView$OnItemClickListener) android/view/animation/Animation/setStartOffset(long) android/opengl/GLSurfaceView/setEGLContextClientVersion(int) android/view/animation/Animation/setDuration(long) android/widget/ImageView/getDrawable() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) net/georgewhiteside/android/abstractart/settings/BackgroundSelector/setContentView(int'
'et/georgewhiteside/android/abstractart/settings/BackgroundSelector/showHelpDialog()','android/app/Dialog/setContentView(android.view.View) android/text/Html/fromHtml(java.lang.String) android/widget/TextView/setText(java.lang.CharSequence) android/widget/TextView/setPadding(int,int,int,int) android/widget/TextView/TextView(android.content.Context) android/app/Dialog/setCanceledOnTouchOutside(boolean) android/app/Dialog/Dialog(android.content.Context,int) android/app/Dialog/show() android/graphics/Color/parseColor(java.lang.String) android/widget/TextView/setTextColor(int'
'ndroid/support/v4/util/LruCache/trimToSize(int)','java/lang/IllegalStateException/IllegalStateException(java.lang.String) java/util/LinkedHashMap/entrySet() java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/lang/Class/getName() java/util/Set/iterator() java/lang/StringBuilder/toString() java/util/LinkedHashMap/isEmpty() java/util/LinkedHashMap/remove(java.lang.Object) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/lang/Object/getClass() java/util/Map$Entry/getValue('
