@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'enis/develops/utils/lightsensor/MainActivity/c()','java/lang/StringBuilder/append(java.lang.String) android/hardware/Camera$Parameters/set(java.lang.String,java.lang.String) android/hardware/Camera$Parameters/setAutoExposureLock(boolean) android/hardware/Camera$Parameters/setColorEffect(java.lang.String) android/hardware/Camera/getParameters() java/lang/Exception/toString() android/hardware/Camera$Parameters/getPreviewSize() java/lang/StringBuilder/toString() android/hardware/Camera$Parameters/isAutoExposureLockSupported() android/hardware/Camera/open(int) android/hardware/Camera$Parameters/setPreviewFormat(int) android/hardware/Camera$Parameters/setPreviewFpsRange(int,int) android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder('
'enis/develops/utils/lightsensor/MainActivity/a(android.location.Location)','java/lang/Math/round(double) java/lang/StringBuilder/append(java.lang.String) android/util/Log/i(java.lang.String,java.lang.String) java/lang/Exception/toString() denis/develops/utils/lightsensor/MainActivity/getString(int) android/location/Location/getLatitude() java/lang/StringBuilder/toString() java/lang/String/format(java.lang.String,java.lang.Object[]) java/lang/Float/valueOf(float) android/location/Location/getLongitude() android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() android/location/Location/getAltitude('
'enis/develops/utils/lightsensor/MainActivity/onResume()','android/content/Intent/setData(android.net.Uri) android/provider/Settings$System/canWrite(android.content.Context) java/lang/StringBuilder/append(java.lang.String) denis/develops/utils/lightsensor/MainActivity/requestPermissions(java.lang.String[],int) denis/develops/utils/lightsensor/MainActivity/checkSelfPermission(java.lang.String) android/net/Uri/parse(java.lang.String) denis/develops/utils/lightsensor/MainActivity/getSharedPreferences(java.lang.String,int) android/app/Activity/onResume() denis/develops/utils/lightsensor/MainActivity/getPackageName() java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() denis/develops/utils/lightsensor/MainActivity/startActivity(android.content.Intent) android/content/Intent/Intent(java.lang.String) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int'
'enis/develops/utils/lightsensor/MainActivity/b(android.hardware.Camera$Parameters)','java/util/regex/Pattern/compile(java.lang.String) java/lang/String/split(java.lang.String) java/lang/String/toLowerCase() java/util/regex/Matcher/matches() java/lang/String/length() java/lang/String/equals(java.lang.Object) java/lang/String/startsWith(java.lang.String) java/util/regex/Pattern/matcher(java.lang.CharSequence) android/hardware/Camera$Parameters/get(java.lang.String) java/lang/String/substring(int) java/lang/Integer/parseInt(java.lang.String'
'enis/develops/utils/lightsensor/MainActivity/a()','android/content/Context/getPackageManager() android/content/IntentFilter/addAction(java.lang.String) android/content/Context/registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/Exception/toString() java/lang/StringBuilder/toString() denis/develops/utils/lightsensor/MainActivity/getApplicationContext() java/lang/StringBuilder/append(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) android/content/ComponentName/ComponentName(android.content.Context,java.lang.Class) android/content/IntentFilter/IntentFilter() android/content/pm/PackageManager/setComponentEnabledSetting(android.content.ComponentName,int,int'
'enis/develops/utils/lightsensor/MainActivity/g()','android/widget/ProgressBar/setProgress(int) java/lang/Long/valueOf(long) java/lang/StringBuilder/append(java.lang.String) java/lang/Long/toString(long) android/widget/TextView/setText(java.lang.CharSequence) java/lang/Long/longValue() java/util/Date/Date() java/lang/StringBuilder/StringBuilder() android/view/TextureView/setAlpha(float) java/util/Date/getTime() java/lang/StringBuilder/toString() java/lang/String/format(java.lang.String,java.lang.Object[]) java/lang/Float/valueOf(float) java/lang/Boolean/toString(boolean) denis/develops/utils/lightsensor/MainActivity/getString(int) java/lang/Float/toString(float'
'enis/develops/utils/lightsensor/MainActivity/onCreate(android.os.Bundle)','android/view/TextureView/isAvailable() android/widget/ProgressBar/setProgress(int) denis/develops/utils/lightsensor/MainActivity/findViewById(int) android/widget/ProgressBar/setMax(int) android/content/SharedPreferences/getLong(java.lang.String,long) android/app/Activity/onCreate(android.os.Bundle) android/view/TextureView/setSurfaceTextureListener(android.view.TextureView$SurfaceTextureListener) java/util/Date/Date() android/os/Bundle/getLong(java.lang.String,long) android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/os/Bundle/getFloat(java.lang.String,float) android/widget/SeekBar/setProgress(int) android/os/Bundle/getInt(java.lang.String,int) denis/develops/utils/lightsensor/MainActivity/getSharedPreferences(java.lang.String,int) denis/develops/utils/lightsensor/MainActivity/setContentView(int) android/widget/SeekBar/setMax(int) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int) android/content/SharedPreferences/getFloat(java.lang.String,float'
'enis/develops/utils/lightsensor/MainActivity/i()','android/hardware/Camera/startPreview() android/hardware/Camera/setPreviewTexture(android.graphics.SurfaceTexture) android/view/TextureView/getLayoutParams() android/hardware/Camera/setDisplayOrientation(int) android/view/TextureView/setLayoutParams(android.view.ViewGroup$LayoutParams) denis/develops/utils/lightsensor/MainActivity/getResources() android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() android/hardware/Camera/getParameters() android/hardware/Camera$Parameters/getPreviewSize() android/view/TextureView/getHeight() java/lang/StringBuilder/toString() android/view/TextureView/getSurfaceTexture() android/view/TextureView/getWidth() java/lang/StringBuilder/append(java.lang.String) java/io/IOException/toString() android/hardware/Camera/setPreviewCallback(android.hardware.Camera$PreviewCallback) android/content/res/Resources/getConfiguration('
'enis/develops/utils/lightsensor/MainActivity/l()','java/lang/StringBuilder/append(java.lang.String) denis/develops/utils/lightsensor/MainActivity/getContentResolver() android/provider/Settings$System/putInt(android.content.ContentResolver,java.lang.String,int) java/lang/Math/abs(float) android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/Exception/toString() java/lang/Math/min(int,int) java/lang/StringBuilder/toString('
'enis/develops/utils/lightsensor/SettingsActivity/onCreate(android.os.Bundle)','android/widget/Switch/setChecked(boolean) android/widget/SeekBar/setMax(int) android/widget/Switch/setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener) denis/develops/utils/lightsensor/SettingsActivity/setContentView(int) java/lang/Math/max(int,int) android/widget/Switch/isChecked() android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/widget/SeekBar/setProgress(int) denis/develops/utils/lightsensor/SettingsActivity/findViewById(int) denis/develops/utils/lightsensor/SettingsActivity/getSharedPreferences(java.lang.String,int) android/app/Activity/onCreate(android.os.Bundle) android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int'
'enis/develops/utils/lightsensor/SettingsActivity/a()','java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/widget/TextView/setText(java.lang.CharSequence) denis/develops/utils/lightsensor/SettingsActivity/getString(int) java/lang/StringBuilder/StringBuilder() java/lang/Float/toString(float) java/lang/StringBuilder/toString() java/lang/String/format(java.lang.String,java.lang.Object[]) java/lang/Float/valueOf(float'
'enis/develops/utils/lightsensor/UnlockReceiver/onReceive(android.content.Context,android.content.Intent)','android/content/Context/getSharedPreferences(java.lang.String,int) java/lang/StringBuilder/append(java.lang.String) android/content/Intent/getAction() java/lang/Math/sin(double) android/provider/Settings$System/putInt(android.content.ContentResolver,java.lang.String,int) java/lang/String/equals(java.lang.Object) android/util/Log/e(java.lang.String,java.lang.String) android/content/SharedPreferences/edit() java/util/Calendar/get(int) android/content/Context/getContentResolver() java/lang/Exception/toString() java/lang/Math/min(double,double) java/lang/Double/toString(double) java/lang/Math/toRadians(double) android/content/SharedPreferences$Editor/apply() android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) android/util/Log/i(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() java/util/Calendar/getInstance() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int) android/content/SharedPreferences/getFloat(java.lang.String,float) java/lang/StringBuilder/toString('
'enis/develops/utils/lightsensor/UnlockReceiver/a(boolean,double,double)','java/lang/Math/acos(double) java/lang/Math/toRadians(double) java/lang/Math/sin(double) java/util/Calendar/getInstance() java/lang/Math/asin(double) java/lang/Math/tan(double) java/util/Calendar/get(int) java/lang/Math/cos(double) java/lang/Math/atan(double) java/lang/Math/toDegrees(double) java/lang/Math/floor(double'
