@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/trugertech/quickbart/ActivityFavoriteEdit/onCreate(android.os.Bundle)','android/os/Bundle/getSerializable(java.lang.String) java/lang/String/toString() android/widget/Button/setOnClickListener(android.view.View$OnClickListener) com/trugertech/quickbart/ActivityFavoriteEdit/setTitle(int) java/lang/Exception/getMessage() java/lang/Long/valueOf(long) android/os/Bundle/getLong(java.lang.String) android/app/Activity/onCreate(android.os.Bundle) com/trugertech/quickbart/ActivityFavoriteEdit/setContentView(int) android/content/Intent/getExtras('
'om/trugertech/quickbart/ActivityFavoriteEdit/populateFields()','android/widget/ArrayAdapter/setDropDownViewResource(int) com/trugertech/quickbart/ActivityFavoriteEdit/getApplicationContext() com/trugertech/quickbart/ActivityFavoriteEdit/setResult(int) com/trugertech/quickbart/ActivityFavoriteEdit/startManagingCursor(android.database.Cursor) com/trugertech/quickbart/ActivityFavoriteEdit/finish() android/widget/Spinner/setAdapter(android.widget.SpinnerAdapter) com/trugertech/quickbart/ActivityFavoriteEdit/findViewById(int) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.lang.Object[]) android/database/Cursor/getColumnIndexOrThrow(java.lang.String) java/lang/Long/longValue() android/widget/Spinner/setSelection(int) android/database/Cursor/getString(int'
'om/trugertech/quickbart/ActivityDisplayInfo/onCreate(android.os.Bundle)','android/widget/TextView/setMovementMethod(android.text.method.MovementMethod) com/trugertech/quickbart/ActivityDisplayInfo/setContentView(int) java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) android/app/Activity/onCreate(android.os.Bundle) java/lang/String/toString() com/trugertech/quickbart/ActivityDisplayInfo/getPackageName() com/trugertech/quickbart/ActivityDisplayInfo/getPackageManager() com/trugertech/quickbart/ActivityDisplayInfo/setResult(int) android/content/pm/PackageManager/getPackageInfo(java.lang.String,int) java/lang/StringBuilder/toString() android/text/Html/fromHtml(java.lang.String) android/text/method/LinkMovementMethod/getInstance() com/trugertech/quickbart/ActivityDisplayInfo/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence'
'om/bugsense/trace/DefaultExceptionHandler/uncaughtException(java.lang.Thread,java.lang.Throwable)','java/lang/Object/toString() java/io/BufferedWriter/BufferedWriter(java.io.Writer) java/lang/StringBuilder/append(java.lang.String) java/io/PrintWriter/PrintWriter(java.io.Writer) java/lang/Integer/toString(int) java/util/Random/nextInt(int) java/io/StringWriter/StringWriter() java/lang/StringBuilder/append(java.lang.Object) java/io/BufferedWriter/flush() java/io/FileWriter/FileWriter(java.lang.String) java/io/BufferedWriter/close() java/util/Date/Date() java/util/Random/Random() java/io/BufferedWriter/write(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/Throwable/printStackTrace(java.io.PrintWriter) java/lang/Thread$UncaughtExceptionHandler/uncaughtException(java.lang.Thread,java.lang.Throwable'
'om/trugertech/quickbart/ActivityPlannerSchedule/getPlannedSchedule(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)','java/net/URL/openStream() javax/xml/parsers/SAXParserFactory/newSAXParser() com/trugertech/quickbart/ActivityPlannerSchedule/getApplicationContext() java/net/URL/URL(java.lang.String) com/trugertech/quickbart/ActivityPlannerSchedule/finish() org/xml/sax/XMLReader/parse(org.xml.sax.InputSource) org/xml/sax/XMLReader/setContentHandler(org.xml.sax.ContentHandler) java/util/ArrayList/ArrayList() com/trugertech/quickbart/ActivityPlannerSchedule/setResult(int) java/lang/String/compareToIgnoreCase(java.lang.String) javax/xml/parsers/SAXParserFactory/newInstance() javax/xml/parsers/SAXParser/getXMLReader() org/xml/sax/InputSource/InputSource(java.io.InputStream'
'om/trugertech/quickbart/ActivityPlannerSchedule/populateSchedule(java.lang.String[])','java/util/ArrayList/ArrayList() java/lang/String/valueOf(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) com/trugertech/quickbart/ActivityPlannerSchedule/setListAdapter(android.widget.ListAdapter) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/ArrayList/get(int) java/lang/StringBuilder/toString() java/lang/Long/valueOf(long) com/trugertech/quickbart/ActivityPlannerSchedule/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence'
'om/trugertech/quickbart/ActivityPlannerSchedule/onCreate(android.os.Bundle)','com/trugertech/quickbart/ActivityPlannerSchedule/setTitle(int) com/trugertech/quickbart/ActivityPlannerSchedule/setResult(int) com/trugertech/quickbart/ActivityPlannerSchedule/getIntent() android/app/ListActivity/onCreate(android.os.Bundle) com/trugertech/quickbart/ActivityPlannerSchedule/finish() java/lang/String/concat(java.lang.String) android/content/Intent/getStringArrayExtra(java.lang.String) com/trugertech/quickbart/ActivityPlannerSchedule/getPackageName() com/trugertech/quickbart/ActivityPlannerSchedule/setContentView(int'
'om/bugsense/trace/BugSense/createJSON(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String[],java.util.Date)','java/io/BufferedReader/close() java/lang/StringBuilder/append(java.lang.String) org/json/JSONObject/put(java.lang.String,java.lang.Object) java/io/StringReader/StringReader(java.lang.String) org/json/JSONObject/toString() java/lang/String/substring(int,int) java/lang/String/lastIndexOf(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() org/json/JSONObject/JSONObject() java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/BufferedReader/readLine('
'om/trugertech/quickbart/ActivityTabMain/onCreate(android.os.Bundle)','com/trugertech/quickbart/ActivityTabMain/setContentView(int) android/widget/TabHost$TabSpec/setIndicator(java.lang.CharSequence,android.graphics.drawable.Drawable) com/trugertech/quickbart/ActivityTabMain/getTabHost() com/trugertech/quickbart/ActivityTabMain/getResources() android/app/TabActivity/onCreate(android.os.Bundle) android/widget/TabHost/addTab(android.widget.TabHost$TabSpec) android/widget/TabHost$TabSpec/setContent(android.content.Intent) android/content/res/Resources/getDrawable(int) android/widget/TabHost/setCurrentTabByTag(java.lang.String) android/content/Intent/Intent() android/widget/TabHost/newTabSpec(java.lang.String) android/content/Intent/setClass(android.content.Context,java.lang.Class'
'om/trugertech/quickbart/ActivityFavoriteSchedule/getSchedule(java.lang.String,java.lang.String)','java/util/ArrayList/ArrayList() java/net/URL/openStream() javax/xml/parsers/SAXParserFactory/newSAXParser() com/trugertech/quickbart/ActivityFavoriteSchedule/finish() java/net/URL/URL(java.lang.String) com/trugertech/quickbart/ActivityFavoriteSchedule/getApplicationContext() org/xml/sax/XMLReader/parse(org.xml.sax.InputSource) com/trugertech/quickbart/ActivityFavoriteSchedule/setResult(int) org/xml/sax/XMLReader/setContentHandler(org.xml.sax.ContentHandler) javax/xml/parsers/SAXParserFactory/newInstance() javax/xml/parsers/SAXParser/getXMLReader() org/xml/sax/InputSource/InputSource(java.io.InputStream'
'om/trugertech/quickbart/ActivityFavoriteSchedule/onOptionsItemSelected(android.view.MenuItem)','android/content/Intent/Intent(android.content.Context,java.lang.Class) android/content/Intent/putExtra(java.lang.String,java.io.Serializable) android/view/MenuItem/getItemId() java/lang/Long/longValue() java/lang/Boolean/valueOf(boolean) android/app/ListActivity/onOptionsItemSelected(android.view.MenuItem) com/trugertech/quickbart/ActivityFavoriteSchedule/finish() com/trugertech/quickbart/ActivityFavoriteSchedule/getApplicationContext() com/trugertech/quickbart/ActivityFavoriteSchedule/getListAdapter() com/trugertech/quickbart/ActivityFavoriteSchedule/startActivityForResult(android.content.Intent,int) com/trugertech/quickbart/ActivityFavoriteSchedule/setResult(int'
'om/trugertech/quickbart/ActivityFavoriteSchedule/onCreate(android.os.Bundle)','com/trugertech/quickbart/ActivityFavoriteSchedule/setContentView(int) java/io/PrintStream/print(java.lang.String) com/trugertech/quickbart/ActivityFavoriteSchedule/setTitle(int) android/os/Bundle/getSerializable(java.lang.String) android/app/ListActivity/onCreate(android.os.Bundle) com/trugertech/quickbart/ActivityFavoriteSchedule/getIntent() java/lang/String/toString() android/content/Intent/getExtras() com/trugertech/quickbart/ActivityFavoriteSchedule/setResult(int) java/lang/Exception/getMessage() java/lang/Long/valueOf(long) android/os/Bundle/getLong(java.lang.String'
'om/trugertech/quickbart/ActivityFavoriteSchedule/populateSchedule()','com/trugertech/quickbart/ActivityFavoriteSchedule/setListAdapter(android.widget.ListAdapter) java/util/ArrayList/ArrayList() com/trugertech/quickbart/ActivityFavoriteSchedule/startManagingCursor(android.database.Cursor) java/lang/StringBuilder/append(java.lang.String) com/trugertech/quickbart/ActivityFavoriteSchedule/finish() java/lang/Long/longValue() com/trugertech/quickbart/ActivityFavoriteSchedule/setResult(int) java/util/ArrayList/get(int) java/lang/StringBuilder/toString() android/widget/TextView/setText(java.lang.CharSequence) android/database/Cursor/getColumnIndexOrThrow(java.lang.String) com/trugertech/quickbart/ActivityFavoriteSchedule/findViewById(int) java/lang/StringBuilder/StringBuilder(java.lang.String) android/database/Cursor/getString(int'
'om/trugertech/quickbart/FavoriteTripLegAdapter/getView(int,android.view.View,android.view.ViewGroup)','android/view/LayoutInflater/inflate(int,android.view.ViewGroup) java/lang/StringBuilder/append(java.lang.String) android/view/View/findViewById(int) android/widget/TextView/setText(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/ArrayList/get(int) java/lang/StringBuilder/toString() java/lang/String/valueOf(java.lang.Object) java/lang/String/equals(java.lang.Object) android/view/LayoutInflater/from(android.content.Context'
'om/trugertech/quickbart/ActivityPlanner/fillData()','android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.lang.Object[]) android/widget/ArrayAdapter/setDropDownViewResource(int) com/trugertech/quickbart/ActivityPlanner/finish() android/widget/RadioButton/setText(java.lang.CharSequence) com/trugertech/quickbart/ActivityPlanner/getApplicationContext() java/lang/Boolean/valueOf(boolean) android/widget/Spinner/setAdapter(android.widget.SpinnerAdapter) android/widget/TextView/setText(java.lang.CharSequence) android/widget/Button/setText(java.lang.CharSequence) android/widget/RadioButton/setChecked(boolean) com/trugertech/quickbart/ActivityPlanner/findViewById(int'
'om/trugertech/quickbart/BartApi_Stations/setStations()','java/net/URL/openStream() java/net/MalformedURLException/getLocalizedMessage() java/net/URL/URL(java.lang.String) javax/xml/parsers/SAXParserFactory/newInstance() javax/xml/parsers/ParserConfigurationException/getLocalizedMessage() org/xml/sax/XMLReader/parse(org.xml.sax.InputSource) org/xml/sax/SAXException/getLocalizedMessage() javax/xml/parsers/SAXParserFactory/newSAXParser() javax/xml/parsers/SAXParser/getXMLReader() org/xml/sax/InputSource/InputSource(java.io.InputStream) java/io/IOException/getLocalizedMessage() org/xml/sax/XMLReader/setContentHandler(org.xml.sax.ContentHandler'
'om/bugsense/trace/BugSense$2/doInBackground(java.lang.Object[])','java/io/BufferedReader/close() java/util/ArrayList/ArrayList() org/apache/http/client/methods/HttpPost/addHeader(java.lang.String,java.lang.String) org/apache/http/HttpEntity/getContent() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) org/apache/http/params/HttpConnectionParams/setSoTimeout(org.apache.http.params.HttpParams,int) org/apache/http/impl/client/DefaultHttpClient/DefaultHttpClient() java/lang/Exception/Exception(java.lang.String) java/lang/String/contains(java.lang.CharSequence) org/apache/http/client/methods/HttpPost/HttpPost(java.lang.String) org/apache/http/impl/client/DefaultHttpClient/execute(org.apache.http.client.methods.HttpUriRequest) org/apache/http/HttpResponse/getEntity() java/lang/StringBuilder/toString() org/apache/http/client/entity/UrlEncodedFormEntity/UrlEncodedFormEntity(java.util.List,java.lang.String) java/lang/StringBuilder/append(java.lang.String) org/apache/http/message/BasicNameValuePair/BasicNameValuePair(java.lang.String,java.lang.String) org/apache/http/client/methods/HttpPost/setEntity(org.apache.http.HttpEntity) java/lang/StringBuilder/StringBuilder() org/apache/http/params/HttpProtocolParams/setUseExpectContinue(org.apache.http.params.HttpParams,boolean) android/util/Log/d(java.lang.String,java.lang.String) java/io/InputStreamReader/InputStreamReader(java.io.InputStream) java/util/List/add(java.lang.Object) java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/BufferedReader/readLine() org/apache/http/params/HttpConnectionParams/setConnectionTimeout(org.apache.http.params.HttpParams,int) org/apache/http/impl/client/DefaultHttpClient/getParams('
'om/bugsense/trace/BugSenseHandler/getStackTraces()','java/util/ArrayList/ArrayList() java/lang/String/split(java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/io/File/exists() java/io/File/list(java.io.FilenameFilter) java/io/File/delete() java/lang/StringBuilder/toString() java/io/BufferedReader/close() java/io/FileReader/FileReader(java.lang.String) java/io/File/File(java.lang.String) java/io/File/mkdir() java/util/ArrayList/add(java.lang.Object) java/util/ArrayList/size() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/System/getProperty(java.lang.String) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/BufferedReader/readLine('
'om/bugsense/trace/BugSenseHandler/setup(android.content.Context,com.bugsense.trace.BugSenseHandler$Processor,java.lang.String)','android/content/Context/getPackageManager() java/lang/StringBuilder/append(java.lang.String) android/content/Context/getPackageName() android/util/Log/i(java.lang.String,java.lang.String) android/content/Context/getFilesDir() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/io/File/getAbsolutePath() android/content/pm/PackageManager/getPackageInfo(java.lang.String,int) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString('
'om/bugsense/trace/BugSenseHandler/ScreenProperties()','android/view/Display/getHeight() java/lang/Integer/toString(int) android/view/Display/getOrientation() android/util/Log/i(java.lang.String,java.lang.String) android/view/WindowManager/getDefaultDisplay() android/view/Display/getMetrics(android.util.DisplayMetrics) android/content/Context/getSystemService(java.lang.String) java/lang/Float/toString(float) android/util/DisplayMetrics/DisplayMetrics() android/view/Display/getWidth() android/content/Context/getPackageManager('
'om/bugsense/trace/BugSenseHandler/showUpgradeNotification(java.lang.String)','android/app/NotificationManager/notify(int,android.app.Notification) android/content/Context/getPackageName() org/json/JSONObject/JSONObject(java.lang.String) android/app/Notification/Notification(int,java.lang.CharSequence,long) org/json/JSONObject/getString(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) android/net/Uri/parse(java.lang.String) android/app/PendingIntent/getActivity(android.content.Context,int,android.content.Intent,int) java/lang/System/currentTimeMillis() android/content/Context/getSystemService(java.lang.String) android/content/Intent/Intent(java.lang.String,android.net.Uri) android/content/res/Resources/getIdentifier(java.lang.String,java.lang.String,java.lang.String) android/content/Context/getResources() android/app/Notification/setLatestEventInfo(android.content.Context,java.lang.CharSequence,java.lang.CharSequence,android.app.PendingIntent'
'om/trugertech/quickbart/ActivityPlanner$1/onClick(android.view.View)','android/content/Intent/Intent(android.content.Context,java.lang.Class) android/widget/Spinner/getSelectedItemPosition() android/widget/RadioButton/isChecked() java/lang/CharSequence/toString() android/widget/Button/getText() com/trugertech/quickbart/ActivityPlanner/findViewById(int) com/trugertech/quickbart/ActivityPlanner/getPackageName() com/trugertech/quickbart/ActivityPlanner/getApplicationContext() java/lang/String/replace(java.lang.CharSequence,java.lang.CharSequence) java/io/PrintStream/print(java.lang.Object) com/trugertech/quickbart/ActivityPlanner/startActivityForResult(android.content.Intent,int) android/content/Intent/putExtra(java.lang.String,java.lang.String[]) java/lang/Boolean/valueOf(boolean) java/lang/String/concat(java.lang.String'
