@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
'om/crawlmb/keymap/KeyMapPreference/saveKeyAssignment(int,android.view.KeyEvent)',org.api.fake
'om/crawlmb/keymap/KeyMapPreference/saveKeyAssignment(int,android.view.KeyEvent)',org.rand.api
om/crawlmb/keyboard/CrawlKeyboardView/onLongPress(android.inputmethodservice.Keyboard$Key),org.api.fake
om/crawlmb/keyboard/CrawlKeyboardView/onLongPress(android.inputmethodservice.Keyboard$Key),org.rand.api
om/crawlmb/keyboard/CrawlKeyboardView/onBufferDraw(),org.api.fake
om/crawlmb/keyboard/CrawlKeyboardView/onBufferDraw(),org.rand.api
om/crawlmb/keyboard/CrawlKeyboardView/onDraw(android.graphics.Canvas),org.api.fake
om/crawlmb/keyboard/CrawlKeyboardView/onDraw(android.graphics.Canvas),org.rand.api
'om/crawlmb/keyboard/CrawlKeyboardView/onModifiedTouchEvent(android.view.MotionEvent,boolean)',org.api.fake
'om/crawlmb/keyboard/CrawlKeyboardView/onModifiedTouchEvent(android.view.MotionEvent,boolean)',org.rand.api
om/crawlmb/keyboard/CrawlKeyboardView/showKey(int),org.api.fake
om/crawlmb/keyboard/CrawlKeyboardView/showKey(int),org.rand.api
om/crawlmb/activity/GameActivity/rebuildViews(),org.api.fake
om/crawlmb/activity/GameActivity/rebuildViews(),org.rand.api
'om/crawlmb/activity/PreferencesActivity$CopySaveDirectoryTask/copyFile(java.lang.String,java.lang.String)',org.api.fake
'om/crawlmb/activity/PreferencesActivity$CopySaveDirectoryTask/copyFile(java.lang.String,java.lang.String)',org.rand.api
om/crawlmb/EditConfigFilePreference/setEditConfigFileIntent(java.lang.String),org.api.fake
om/crawlmb/EditConfigFilePreference/setEditConfigFileIntent(java.lang.String),org.rand.api
om/crawlmb/CharFileViewer/onCreate(android.os.Bundle),org.api.fake
om/crawlmb/CharFileViewer/onCreate(android.os.Bundle),org.rand.api
om/crawlmb/CharFileViewer/readFile(java.io.File),org.api.fake
om/crawlmb/CharFileViewer/readFile(java.io.File),org.rand.api
om/crawlmb/activity/CustomKeyboardActivity/showGetSpecialCharacterDialog(),org.api.fake
om/crawlmb/activity/CustomKeyboardActivity/showGetSpecialCharacterDialog(),org.rand.api
om/crawlmb/activity/CustomKeyboardActivity/onCreate(android.os.Bundle),org.api.fake
om/crawlmb/activity/CustomKeyboardActivity/onCreate(android.os.Bundle),org.rand.api
om/crawlmb/activity/CustomKeyboardActivity/createCharacterBindingDialog(),org.api.fake
om/crawlmb/activity/CustomKeyboardActivity/createCharacterBindingDialog(),org.rand.api
om/crawlmb/activity/PreferencesActivity/onResume(),org.api.fake
om/crawlmb/activity/PreferencesActivity/onResume(),org.rand.api
om/crawlmb/activity/PreferencesActivity/setConfigFilePreferences(),org.api.fake
om/crawlmb/activity/PreferencesActivity/setConfigFilePreferences(),org.rand.api
om/crawlmb/keymap/KeyMapper/init(boolean),org.api.fake
om/crawlmb/keymap/KeyMapper/init(boolean),org.rand.api
om/crawlmb/ConfigEditor/copyConfigFile(),org.api.fake
om/crawlmb/ConfigEditor/copyConfigFile(),org.rand.api
om/crawlmb/ConfigEditor/readFile(java.io.File),org.api.fake
om/crawlmb/ConfigEditor/readFile(java.io.File),org.rand.api
'om/crawlmb/keymap/KeyMapPreference/saveKeyAssignment(int,android.view.KeyEvent)','android/app/AlertDialog$Builder/setTitle(java.lang.CharSequence) android/view/KeyEvent/isAltPressed() android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/view/KeyEvent/getUnicodeChar(int) com/crawlmb/keymap/KeyMapPreference/getContext() android/app/AlertDialog$Builder/show('
