@RELATION fake

@ATTRIBUTE fqCaller STRING
@ATTRIBUTE fqCalls STRING

@DATA
'om/foldor/wordclock/WordClockReceiver/buildAppWidget(android.content.Context,android.appwidget.AppWidgetManager,int)',org.api.fake
'om/foldor/wordclock/WordClockReceiver/buildAppWidget(android.content.Context,android.appwidget.AppWidgetManager,int)',org.rand.api
om/chiralcode/colorpicker/MultiColorPicker/onDraw(android.graphics.Canvas),org.api.fake
om/chiralcode/colorpicker/MultiColorPicker/onDraw(android.graphics.Canvas),org.rand.api
om/chiralcode/colorpicker/MultiColorPicker/drawPointerArrow(android.graphics.Canvas),org.api.fake
om/chiralcode/colorpicker/MultiColorPicker/drawPointerArrow(android.graphics.Canvas),org.rand.api
om/chiralcode/colorpicker/MultiColorPicker/onTouchEvent(android.view.MotionEvent),org.api.fake
om/chiralcode/colorpicker/MultiColorPicker/onTouchEvent(android.view.MotionEvent),org.rand.api
'om/foldor/wordclock/WordClockReceiver/buildAppWidget(android.content.Context,android.appwidget.AppWidgetManager,int)','android/content/Context/getPackageName() android/widget/RemoteViews/RemoteViews(java.lang.String,int) android/content/Intent/setAction(java.lang.String) android/util/Log/d(java.lang.String,java.lang.String) android/app/PendingIntent/getActivity(android.content.Context,int,android.content.Intent,int) android/graphics/Color/parseColor(java.lang.String) java/lang/Integer/valueOf(int) android/preference/PreferenceManager/getDefaultSharedPreferences(android.content.Context) android/content/SharedPreferences/getInt(java.lang.String,int) android/appwidget/AppWidgetManager/getAppWidgetInfo(int) android/widget/RemoteViews/setTextViewText(int,java.lang.CharSequence) java/lang/Integer/intValue() android/widget/RemoteViews/setTextColor(int,int) android/content/Intent/putExtra(java.lang.String,int'
om/chiralcode/colorpicker/MultiColorPicker/onDraw(android.graphics.Canvas),'com/chiralcode/colorpicker/MultiColorPicker/getWidth() java/lang/Math/sin(double) android/graphics/Paint/setShader(android.graphics.Shader) android/graphics/Canvas/drawPath(android.graphics.Path,android.graphics.Paint) java/lang/Math/cos(double) android/graphics/Color/HSVToColor(float[]) android/graphics/SweepGradient/setLocalMatrix(android.graphics.Matrix) android/graphics/Path/arcTo(android.graphics.RectF,float,float) android/graphics/Paint/setColor(int) android/graphics/Path/reset() android/graphics/SweepGradient/SweepGradient(float,float,int[],float[]) android/graphics/Canvas/drawLine(float,float,float,float,android.graphics.Paint) java/lang/Math/toRadians(double) android/graphics/Canvas/drawBitmap(android.graphics.Bitmap,float,float,android.graphics.Paint) com/chiralcode/colorpicker/MultiColorPicker/getHeight('
om/chiralcode/colorpicker/MultiColorPicker/drawPointerArrow(android.graphics.Canvas),'com/chiralcode/colorpicker/MultiColorPicker/getWidth() android/graphics/Paint/setStrokeJoin(android.graphics.Paint$Join) android/graphics/Path/lineTo(float,float) com/chiralcode/colorpicker/MultiColorPicker/getHeight() java/lang/Math/cos(double) android/graphics/Color/HSVToColor(float[]) android/graphics/Paint/setColor(int) android/graphics/Path/reset() java/lang/Math/sin(double) android/graphics/Path/moveTo(float,float) android/graphics/Paint/setStyle(android.graphics.Paint$Style) android/graphics/Canvas/drawPath(android.graphics.Path,android.graphics.Paint'
om/chiralcode/colorpicker/MultiColorPicker/onTouchEvent(android.view.MotionEvent),'java/lang/Math/toDegrees(double) com/chiralcode/colorpicker/MultiColorPicker/getWidth() android/view/MotionEvent/getAction() android/view/MotionEvent/getY() android/view/View/onTouchEvent(android.view.MotionEvent) com/chiralcode/colorpicker/MultiColorPicker/getHeight() java/lang/Math/sqrt(double) java/lang/Math/min(double,double) java/lang/Math/atan2(double,double) java/lang/Math/min(float,float) java/lang/Math/max(float,float) java/lang/Math/max(double,double) com/chiralcode/colorpicker/MultiColorPicker/invalidate() android/view/MotionEvent/getX('
om/chiralcode/colorpicker/ColorPicker/drawPointerArrow(android.graphics.Canvas),'com/chiralcode/colorpicker/ColorPicker/getHeight() com/chiralcode/colorpicker/ColorPicker/getWidth() android/graphics/Paint/setStrokeJoin(android.graphics.Paint$Join) android/graphics/Path/lineTo(float,float) java/lang/Math/cos(double) android/graphics/Color/HSVToColor(float[]) android/graphics/Paint/setColor(int) android/graphics/Path/reset() java/lang/Math/sin(double) android/graphics/Path/moveTo(float,float) android/graphics/Paint/setStyle(android.graphics.Paint$Style) android/graphics/Canvas/drawPath(android.graphics.Path,android.graphics.Paint'
om/chiralcode/colorpicker/ColorPicker/onTouchEvent(android.view.MotionEvent),'com/chiralcode/colorpicker/ColorPicker/getHeight() java/lang/Math/toDegrees(double) com/chiralcode/colorpicker/ColorPicker/getWidth() com/chiralcode/colorpicker/ColorPicker/invalidate() android/view/MotionEvent/getAction() android/view/MotionEvent/getX() android/view/MotionEvent/getY() android/view/View/onTouchEvent(android.view.MotionEvent) java/lang/Math/sqrt(double) java/lang/Math/min(double,double) java/lang/Math/atan2(double,double) java/lang/Math/min(float,float) java/lang/Math/max(float,float) java/lang/Math/max(double,double'
