@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/rj/processing/plasmasoundhd/sequencer/JSONSequencerPresets/writePresets(org.json.JSONObject,android.content.Context)','java/io/BufferedOutputStream/write(byte[]) java/io/FileOutputStream/FileOutputStream(java.io.File) java/io/BufferedOutputStream/close() java/io/File/File(java.io.File,java.lang.String) org/json/JSONObject/toString(int) java/lang/Exception/printStackTrace() android/content/Context/getFilesDir('
'om/rj/processing/plasmasoundhd/sequencer/JSONSequencerPresets/populateWithDefaults(android.content.Context)','org/json/JSONException/printStackTrace() android/content/Context/getSharedPreferences(java.lang.String,int) java/util/Iterator/hasNext() org/json/JSONObject/getJSONObject(java.lang.String) org/json/JSONObject/put(java.lang.String,java.lang.Object) android/content/SharedPreferences$Editor/commit() android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) java/util/Iterator/next() org/json/JSONObject/getString(java.lang.String) org/json/JSONObject/keys() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/edit('
'om/rj/processing/plasmasoundhd/sequencer/JSONSequencerPresets/showLoadMenu(android.content.Context,com.rj.processing.plasmasoundhd.SequencerActivity)','org/json/JSONObject/get(java.lang.String) android/app/AlertDialog$Builder/setTitle(int) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setSingleChoiceItems(java.lang.CharSequence[],int,android.content.DialogInterface$OnClickListener) android/app/AlertDialog$Builder/create() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/String/equals(java.lang.Object) java/lang/Exception/printStackTrace('
'om/rj/processing/plasmasoundhd/sequencer/JSONSequencerPresets/getPresetsInternal(android.content.Context)','java/io/File/File(java.io.File,java.lang.String) java/io/BufferedInputStream/read(byte[]) java/lang/String/String(byte[]) java/io/BufferedInputStream/BufferedInputStream(java.io.InputStream) java/io/File/length() java/io/FileInputStream/FileInputStream(java.io.File) java/io/File/exists() org/json/JSONObject/JSONObject(java.lang.String) java/lang/Exception/printStackTrace() android/content/Context/getFilesDir('
'om/rj/processing/plasmasoundhd/sequencer/JSONSequencerPresets/getDefaultPresets(android.content.Context)','java/lang/Object/toString() java/io/Reader/read(char[]) java/lang/Exception/printStackTrace() java/io/InputStream/close() java/io/StringWriter/StringWriter() java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/Writer/write(char[],int,int) android/content/res/Resources/openRawResource(int) android/content/Context/getResources() java/io/InputStreamReader/InputStreamReader(java.io.InputStream,java.lang.String) org/json/JSONObject/JSONObject(java.lang.String'
'om/rj/processing/plasmasoundhd/pd/effects/Effect/updateSettings(android.content.SharedPreferences,java.lang.String)','java/util/ArrayList/ArrayList() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences/getString(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/ArrayList/add(java.lang.Object) java/util/ArrayList/size() java/util/Collection/iterator() java/lang/StringBuilder/toString() java/lang/Float/parseFloat(java.lang.String) java/lang/String/valueOf(java.lang.Object) java/util/Iterator/next() android/content/SharedPreferences/getBoolean(java.lang.String,boolean) android/content/SharedPreferences/getInt(java.lang.String,int) java/util/HashMap/values() java/util/ArrayList/get(int'
'om/rj/processing/plasmasoundhd/pd/effects/Effect/updateSettingsFromJSON(org.json.JSONObject,boolean,android.content.SharedPreferences$Editor)','org/json/JSONException/printStackTrace() java/util/ArrayList/ArrayList() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Collection/iterator() java/lang/StringBuilder/toString() org/json/JSONObject/has(java.lang.String) java/lang/String/valueOf(java.lang.Object) android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/util/ArrayList/add(java.lang.Object) org/json/JSONObject/getDouble(java.lang.String) java/util/ArrayList/size() org/json/JSONObject/getBoolean(java.lang.String) java/util/HashMap/values() java/util/ArrayList/get(int'
'om/rj/processing/plasmasoundhd/pd/effects/Effect/saveSettingsToJSON(org.json.JSONObject)','org/json/JSONException/printStackTrace() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder(java.lang.String) java/util/Iterator/next() java/util/Collection/iterator() java/util/HashMap/values() org/json/JSONObject/put(java.lang.String,boolean) java/lang/StringBuilder/toString() java/lang/String/valueOf(java.lang.Object'
'om/rj/processing/plasmasoundhd/WaveformEditor/debug()','android/util/DisplayMetrics/DisplayMetrics() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/view/WindowManager/getDefaultDisplay() java/lang/StringBuilder/append(float) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder(java.lang.String) com/rj/processing/plasmasoundhd/WaveformEditor/getWindowManager() android/view/Display/getMetrics(android.util.DisplayMetrics) com/rj/processing/plasmasoundhd/WaveformEditor/println(java.lang.String'
'rg/puredata/android/service/PdService/onCreate()','java/lang/StringBuilder/StringBuilder(java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) org/puredata/android/service/PdService/getFilesDir() android/app/Service/onCreate() android/content/res/Resources/openRawResource(int) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/io/IOException/toString() java/io/File/getAbsolutePath() org/puredata/android/service/PdService/getResources('
