@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'witter4j/internal/org/json/Test/main(java.lang.String[])','java/util/Iterator/hasNext() java/io/PrintStream/print(java.lang.String) java/io/PrintStream/println(java.lang.String) java/io/PrintStream/println(int) twitter4j/internal/org/json/JSONStringer/value(boolean) java/io/PrintStream/println() java/lang/StringBuffer/append(java.lang.Object) java/lang/StringBuffer/append(double) java/util/Iterator/next() java/lang/StringBuffer/toString() twitter4j/internal/org/json/JSONStringer/endArray() twitter4j/internal/org/json/JSONStringer/object() java/io/StringWriter/StringWriter() twitter4j/internal/org/json/JSONStringer/value(long) java/lang/StringBuffer/append(int) twitter4j/internal/org/json/JSONStringer/array() java/io/PrintStream/println(java.lang.Object) java/lang/Exception/toString() twitter4j/internal/org/json/JSONStringer/key(java.lang.String) twitter4j/internal/org/json/JSONStringer/endObject() java/lang/StringBuffer/append(java.lang.String) java/io/PrintStream/println(double) java/lang/Object/Object() java/lang/StringBuffer/append(boolean) java/lang/StringBuffer/StringBuffer() twitter4j/internal/org/json/JSONStringer/value(java.lang.Object'
'om/google/gdata/util/common/base/UnicodeEscaper$1/append(char)','java/lang/Appendable/append(char) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/lang/Character/isLowSurrogate(char) java/lang/Character/toCodePoint(char,char) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(char) java/lang/Character/isHighSurrogate(char) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/toString('
'om/google/gdata/util/common/base/UnicodeEscaper$1/append(java.lang.CharSequence,int,int)','java/lang/Appendable/append(char) java/lang/StringBuilder/append(java.lang.String) java/lang/Character/toCodePoint(char,char) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(char) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/toString() java/lang/Character/isSupplementaryCodePoint(int) java/lang/Character/toChars(int,char[],int) java/lang/Character/isLowSurrogate(char) java/lang/Appendable/append(java.lang.CharSequence,int,int) java/lang/CharSequence/charAt(int'
'kylight1/util/BuildInfo/getAndroidID(android.content.Context)','android/content/Context/getPackageManager() android/provider/Settings$Secure/getString(android.content.ContentResolver,java.lang.String) android/content/Context/getPackageName() java/lang/String/format(java.lang.String,java.lang.Object[]) android/content/Context/getContentResolver() android/content/Context/getSystemService(java.lang.String) android/net/wifi/WifiManager/getConnectionInfo() android/content/pm/PackageManager/checkPermission(java.lang.String,java.lang.String) android/net/wifi/WifiInfo/getMacAddress('
'om/adwhirl/adapters/AdSenseAdapter/handle()','com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setCompanyName(java.lang.String) android/text/TextUtils/isEmpty(java.lang.CharSequence) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setColorBackground(java.lang.String) android/text/TextUtils/join(java.lang.CharSequence,java.lang.Iterable) com/google/ads/GoogleAdView/GoogleAdView(android.content.Context) com/google/ads/GoogleAdView/setAdViewListener(com.google.ads.AdViewListener) com/adwhirl/AdWhirlLayout/getContext() com/google/ads/GoogleAdView/showAds(com.google.ads.AdSpec) android/view/ViewGroup$LayoutParams/ViewGroup$LayoutParams(int,int) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setKeywords(java.lang.String) android/util/Log/w(java.lang.String,java.lang.String) com/adwhirl/AdWhirlLayout/addView(android.view.View,android.view.ViewGroup$LayoutParams) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setExpandDirection(com.google.ads.AdSenseSpec$ExpandDirection) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setAppName(java.lang.String) java/lang/ref/WeakReference/get() android/view/ViewParent/getParent() com/google/ads/AdSenseSpec$ExpandDirection/valueOf(java.lang.String) com/google/ads/GoogleAdView/setVisibility(int) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setAdTestEnabled(boolean) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setAdFormat(com.google.ads.AdSenseSpec$AdFormat) com/adwhirl/AdWhirlLayout/getParent() java/lang/String/startsWith(java.lang.String) com/adwhirl/adapters/AdSenseAdapter$ExtendedAdSenseSpec/setChannel(java.lang.String'
'om/google/ads/InstallReceiver/a(java.lang.String,java.lang.String,java.lang.String)','java/lang/String/split(java.lang.String) java/net/URLEncoder/encode(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() java/lang/StringBuilder/StringBuilder(int) java/lang/StringBuilder/StringBuilder() java/lang/String/substring(int) java/lang/String/startsWith(java.lang.String) java/lang/StringBuilder/toString('
'om/google/ads/InstallReceiver/forwardIntent(android.content.Context,android.content.Intent)','java/lang/Class/forName(java.lang.String) android/content/Context/getPackageManager() java/lang/StringBuilder/append(java.lang.String) android/content/BroadcastReceiver/onReceive(android.content.Context,android.content.Intent) android/content/pm/PackageManager/getReceiverInfo(android.content.ComponentName,int) java/util/Iterator/next() java/lang/String/equals(java.lang.Object) android/content/ComponentName/ComponentName(android.content.Context,java.lang.Class) java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() android/os/Bundle/getString(java.lang.String) java/util/Iterator/hasNext() java/lang/Class/newInstance() java/lang/StringBuilder/toString() android/os/Bundle/keySet('
'om/google/ads/InstallReceiver/onReceive(android.content.Context,android.content.Intent)','java/net/URL/openConnection() java/lang/StringBuilder/append(java.lang.String) android/content/Context/getPackageName() java/net/URL/URL(java.lang.String) java/net/HttpURLConnection/setRequestProperty(java.lang.String,java.lang.String) java/net/HttpURLConnection/getResponseCode() android/content/Context/getApplicationContext() android/content/Intent/getStringExtra(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder('
'/a(d,java.util.Map,android.net.Uri,android.webkit.WebView)','android/net/Uri/getPath() java/util/HashMap/put(java.lang.Object,java.lang.Object) java/lang/StringBuilder/StringBuilder() android/net/Uri/toString() java/util/HashMap/get(java.lang.Object) java/lang/StringBuilder/toString() android/net/Uri/getHost() java/lang/StringBuilder/append(java.lang.String) java/util/Map/get(java.lang.Object) java/util/HashMap/remove(java.lang.Object) java/lang/String/equals(java.lang.Object'
'om/google/android/apps/analytics/PersistentHitStore/peekHits(int)','android/database/sqlite/SQLiteException/toString() java/util/ArrayList/ArrayList() java/lang/Integer/toString(int) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) android/database/Cursor/close() java/util/List/toArray(java.lang.Object[]) android/util/Log/e(java.lang.String,java.lang.String) java/util/List/add(java.lang.Object) com/google/android/apps/analytics/PersistentHitStore$DataBaseHelper/getReadableDatabase() android/database/Cursor/getString(int) android/database/Cursor/moveToNext() java/util/List/size() android/database/Cursor/getLong(int'
'om/google/android/apps/analytics/PersistentHitStore/peekEvents(int,android.database.sqlite.SQLiteDatabase,int)','android/database/Cursor/getColumnIndex(java.lang.String) java/util/ArrayList/ArrayList() java/lang/StringBuilder/append(java.lang.String) java/lang/Integer/toString(int) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) java/util/List/add(java.lang.Object) android/database/Cursor/getString(int) android/database/Cursor/moveToNext() android/util/Log/w(java.lang.String,java.lang.String) android/database/sqlite/SQLiteException/toString() java/util/List/size() android/database/Cursor/getLong(int) java/lang/StringBuilder/append(long) java/lang/String/equals(java.lang.Object) java/util/List/toArray(java.lang.Object[]) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString() android/database/Cursor/getInt(int'
'om/google/android/apps/analytics/PersistentHitStore/getCustomVariables(long,android.database.sqlite.SQLiteDatabase)','android/database/Cursor/getColumnIndex(java.lang.String) android/database/sqlite/SQLiteException/toString() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/Long/toString(long) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) android/database/Cursor/getString(int) android/database/Cursor/moveToNext() android/database/Cursor/getInt(int'
'om/google/android/apps/analytics/PersistentHitStore/getItem(long,android.database.sqlite.SQLiteDatabase)','android/database/Cursor/getColumnIndex(java.lang.String) android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/Long/toString(long) android/database/Cursor/close() android/util/Log/e(java.lang.String,java.lang.String) android/database/Cursor/moveToFirst() android/database/sqlite/SQLiteException/toString() android/database/Cursor/getLong(int) android/database/Cursor/getString(int) android/database/Cursor/getDouble(int'
