@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'k/co/bensproule/silentmeeting/fragment/TimePickerFragment/onCreateDialog(android.os.Bundle)','android/widget/TextView/setText(java.lang.CharSequence) android/widget/TextView/setPadding(int,int,int,int) android/widget/TextView/TextView(android.content.Context) uk/co/bensproule/silentmeeting/fragment/TimePickerFragment/getActivity() android/app/TimePickerDialog/setCustomTitle(android.view.View) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) android/app/Activity/getApplicationContext() android/app/TimePickerDialog/TimePickerDialog(android.content.Context,android.app.TimePickerDialog$OnTimeSetListener,int,int,boolean) android/os/Bundle/getString(java.lang.String'
'k/co/bensproule/silentmeeting/service/AlarmService/setMuteAlarm(uk.co.bensproule.silentmeeting.domain.Instance)','android/app/AlarmManager/set(int,long,android.app.PendingIntent) uk/co/bensproule/silentmeeting/service/AlarmService/getApplicationContext() java/util/Calendar/getTime() java/lang/Class/getCanonicalName() java/util/Calendar/getTimeInMillis() java/text/SimpleDateFormat/SimpleDateFormat(java.lang.String) java/lang/StringBuilder/toString() java/util/Calendar/setTimeInMillis(long) java/lang/StringBuilder/append(java.lang.String) java/text/SimpleDateFormat/format(java.util.Date) android/app/AlarmManager/setExact(int,long,android.app.PendingIntent) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/util/Calendar/getInstance('
'k/co/bensproule/silentmeeting/dao/AttendeeDao/get(uk.co.bensproule.silentmeeting.domain.Event)','java/util/ArrayList/ArrayList() java/lang/Class/getCanonicalName() uk/co/bensproule/silentmeeting/domain/Event/getId() java/util/List/add(java.lang.Object) android/database/Cursor/moveToNext() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'k/co/bensproule/silentmeeting/activity/ScheduledEventActivity/onCreate(android.os.Bundle)','java/lang/StringBuilder/append(java.lang.String) java/util/List/size() android/app/Activity/onCreate(android.os.Bundle) uk/co/bensproule/silentmeeting/activity/ScheduledEventActivity/findViewById(int) java/lang/StringBuilder/StringBuilder() java/util/Date/Date(long) uk/co/bensproule/silentmeeting/activity/ScheduledEventActivity/getApplicationContext() java/util/List/get(int) java/text/DateFormat/format(java.util.Date) uk/co/bensproule/silentmeeting/dao/InstanceDao/getAll() java/lang/StringBuilder/toString() android/widget/ListView/setAdapter(android.widget.ListAdapter) java/text/SimpleDateFormat/getInstance() android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,java.lang.Object[]) uk/co/bensproule/silentmeeting/domain/Instance/getName() uk/co/bensproule/silentmeeting/activity/ScheduledEventActivity/setContentView(int'
'k/co/bensproule/silentmeeting/util/BroadcastUtils/createBroadcast(android.content.Context,java.lang.String,java.lang.Class,long,boolean)','android/app/AlarmManager/cancel(android.app.PendingIntent) android/content/Intent/Intent(android.content.Context,java.lang.Class) java/util/Calendar/setTimeInMillis(long) java/util/Calendar/set(int,int) android/app/PendingIntent/getBroadcast(android.content.Context,int,android.content.Intent,int) android/content/Intent/setAction(java.lang.String) java/util/Calendar/getInstance() android/app/AlarmManager/setRepeating(int,long,long,android.app.PendingIntent) java/util/Calendar/getTimeInMillis() android/app/AlarmManager/setInexactRepeating(int,long,long,android.app.PendingIntent) java/lang/System/currentTimeMillis() android/content/Context/getSystemService(java.lang.String'
'k/co/bensproule/silentmeeting/dao/InstanceDao/get(uk.co.bensproule.silentmeeting.domain.Event)','java/util/ArrayList/ArrayList() java/lang/Class/getCanonicalName() uk/co/bensproule/silentmeeting/domain/Event/getId() java/util/List/add(java.lang.Object) android/database/Cursor/moveToNext() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
'k/co/bensproule/silentmeeting/dao/InstanceDao/ingest(uk.co.bensproule.silentmeeting.domain.Event)','uk/co/bensproule/silentmeeting/dao/InstanceDao/save(uk.co.bensproule.silentmeeting.domain.Domain) android/net/Uri$Builder/build() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) uk/co/bensproule/silentmeeting/domain/Event/getId() android/content/Context/getContentResolver() java/lang/System/currentTimeMillis() android/database/Cursor/moveToNext() android/database/Cursor/close() android/net/Uri/buildUpon() android/content/ContentUris/appendId(android.net.Uri$Builder,long) java/lang/String/valueOf(int'
'k/co/bensproule/silentmeeting/adapter/CalendarArrayAdapter/getView(int,android.view.View,android.view.ViewGroup)','android/widget/CheckBox/setOnClickListener(android.view.View$OnClickListener) android/view/View/findViewById(int) java/lang/String/equals(java.lang.Object) android/content/Context/getSystemService(java.lang.String) android/widget/CheckBox/setChecked(boolean) android/widget/CheckBox/setText(java.lang.CharSequence) android/view/LayoutInflater/inflate(int,android.view.ViewGroup,boolean) uk/co/bensproule/silentmeeting/domain/Calendar/getName() java/util/List/get(int) android/widget/ImageView/setImageResource(int) java/lang/String/contains(java.lang.CharSequence'
'k/co/bensproule/silentmeeting/dao/EventDao/ingest(uk.co.bensproule.silentmeeting.domain.Calendar)','uk/co/bensproule/silentmeeting/domain/Calendar/getId() uk/co/bensproule/silentmeeting/dao/EventDao/save(uk.co.bensproule.silentmeeting.domain.Domain) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/database/Cursor/close() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) java/lang/StringBuilder/append(long) java/lang/StringBuilder/StringBuilder() android/content/Context/getContentResolver() java/lang/System/currentTimeMillis() java/lang/StringBuilder/toString() android/database/Cursor/moveToNext() java/lang/AssertionError/AssertionError('
'k/co/bensproule/silentmeeting/dao/EventDao/get(uk.co.bensproule.silentmeeting.domain.Calendar)','uk/co/bensproule/silentmeeting/domain/Calendar/getId() java/util/ArrayList/ArrayList() java/lang/Class/getCanonicalName() java/util/List/add(java.lang.Object) android/database/Cursor/moveToNext() android/database/sqlite/SQLiteDatabase/query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/String/valueOf(int'
