@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/litvin/israelweather/MainActivity/onOptionsItemSelected(android.view.MenuItem)','android/content/Intent/Intent(java.lang.String,android.net.Uri) android/support/v7/a/b/onOptionsItemSelected(android.view.MenuItem) android/view/MenuItem/getItemId() android/content/SharedPreferences$Editor/putInt(java.lang.String,int) com/litvin/israelweather/MainActivity/f() android/net/Uri/parse(java.lang.String) android/content/SharedPreferences/edit() com/litvin/israelweather/MainActivity/finish() android/content/SharedPreferences/getInt(java.lang.String,int) com/litvin/israelweather/MainActivity/getSharedPreferences(java.lang.String,int) java/lang/StringBuilder/toString() com/litvin/israelweather/MainActivity/getString(int) android/content/Intent/createChooser(android.content.Intent,java.lang.CharSequence) java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences$Editor/commit() com/litvin/israelweather/MainActivity/startActivity(android.content.Intent) java/lang/StringBuilder/StringBuilder() android/content/Intent/setType(java.lang.String) android/content/Intent/Intent(java.lang.String'
'om/litvin/israelweather/MainActivity/onCreate(android.os.Bundle)','com/litvin/israelweather/MainActivity/getString(int) android/graphics/drawable/BitmapDrawable/getBitmap() java/lang/String/format(java.lang.String,java.lang.Object[]) android/content/SharedPreferences$Editor/commit() android/os/Bundle/getInt(java.lang.String) android/os/Bundle/containsKey(java.lang.String) android/content/SharedPreferences/getInt(java.lang.String,int) com/litvin/israelweather/MainActivity/getSharedPreferences(java.lang.String,int) android/widget/ArrayAdapter/ArrayAdapter(android.content.Context,int,int,java.lang.Object[]) com/litvin/israelweather/MainActivity/setContentView(int) com/litvin/israelweather/MainActivity/e() com/litvin/israelweather/MainActivity/f() android/content/res/Resources/getDrawable(int) android/content/SharedPreferences/edit() android/content/SharedPreferences$Editor/remove(java.lang.String) java/lang/Integer/valueOf(int) com/litvin/israelweather/MainActivity/getResources('
'om/b/a/j/a()','java/util/Iterator/hasNext() java/net/URLEncoder/encode(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/util/Map/get(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/io/UnsupportedEncodingException/printStackTrace() java/lang/StringBuilder/length() java/lang/StringBuilder/toString() java/util/Iterator/next() java/util/Map/keySet('
'ndroid/support/v7/internal/view/menu/ActionMenuView/onLayout(boolean,int,int,int,int)','android/support/v7/internal/widget/LinearLayoutICS/onLayout(boolean,int,int,int,int) android/view/View/getLayoutParams() android/view/View/layout(int,int,int,int) android/support/v7/internal/view/menu/ActionMenuView/getSupportDividerWidth() android/support/v7/internal/view/menu/ActionMenuView/getPaddingRight() android/support/v7/internal/view/menu/ActionMenuView/getChildCount() android/view/View/getMeasuredHeight() android/view/View/getMeasuredWidth() android/view/View/getVisibility() java/lang/Math/max(int,int) android/support/v7/internal/view/menu/ActionMenuView/getPaddingLeft() android/support/v7/internal/view/menu/ActionMenuView/getWidth() android/support/v7/internal/view/menu/ActionMenuView/getChildAt(int'
'ndroid/support/v7/internal/view/menu/ActionMenuView/a(int,int)','java/lang/Long/bitCount(long) android/view/View/getLayoutParams() android/view/View/setPadding(int,int,int,int) android/support/v7/internal/view/menu/ActionMenuView/getPaddingRight() android/support/v7/internal/view/menu/ActionMenuView/getChildAt(int) android/view/View/measure(int,int) android/view/View/getMeasuredHeight() android/view/View/getVisibility() java/lang/Math/max(int,int) android/support/v7/internal/view/menu/ActionMenuView/getPaddingLeft() android/support/v7/internal/view/menu/ActionMenuView/getPaddingTop() android/support/v7/internal/view/menu/ActionMenuView/getPaddingBottom() android/view/View$MeasureSpec/getMode(int) android/view/View$MeasureSpec/getSize(int) android/support/v7/internal/view/menu/ActionMenuView/setMeasuredDimension(int,int) android/view/View$MeasureSpec/makeMeasureSpec(int,int) android/support/v7/internal/view/menu/ActionMenuView/getChildCount() java/lang/Math/min(int,int'
'om/a/a/a/a/ac$a/a(android.database.sqlite.SQLiteDatabase)','android/database/sqlite/SQLiteDatabase/rawQuery(java.lang.String,java.lang.String[]) android/database/sqlite/SQLiteException/SQLiteException(java.lang.String) android/database/Cursor/close() java/util/Set/isEmpty() java/util/Set/remove(java.lang.Object) android/database/sqlite/SQLiteDatabase/execSQL(java.lang.String) android/database/Cursor/getColumnNames() java/util/HashSet/HashSet() java/util/Set/add(java.lang.Object'
'ndroid/support/v7/widget/a/b(android.net.Uri)','android/util/Log/w(java.lang.String,java.lang.String) android/net/Uri/getScheme() android/graphics/drawable/Drawable/createFromStream(java.io.InputStream,java.lang.String) java/lang/StringBuilder/append(java.lang.String) android/content/Context/getContentResolver() java/lang/StringBuilder/append(java.lang.Object) java/io/FileNotFoundException/FileNotFoundException(java.lang.String) java/lang/StringBuilder/toString() java/lang/String/equals(java.lang.Object) java/io/FileNotFoundException/getMessage() java/io/InputStream/close() android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder() android/content/ContentResolver/openInputStream(android.net.Uri'
'ndroid/support/v7/widget/a/a(android.app.SearchableInfo,java.lang.String,int)','android/app/SearchableInfo/getSuggestPath() android/net/Uri$Builder/query(java.lang.String) android/net/Uri$Builder/fragment(java.lang.String) android/net/Uri$Builder/Uri$Builder() android/net/Uri$Builder/build() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) android/net/Uri$Builder/scheme(java.lang.String) android/content/Context/getContentResolver() android/net/Uri$Builder/authority(java.lang.String) android/app/SearchableInfo/getSuggestAuthority() java/lang/String/valueOf(int) android/net/Uri$Builder/appendQueryParameter(java.lang.String,java.lang.String) android/app/SearchableInfo/getSuggestSelection() android/net/Uri$Builder/appendEncodedPath(java.lang.String) android/net/Uri$Builder/appendPath(java.lang.String'
'ndroid/support/v7/widget/a/b(java.lang.CharSequence)','android/text/style/TextAppearanceSpan/TextAppearanceSpan(java.lang.String,int,int,android.content.res.ColorStateList,android.content.res.ColorStateList) java/lang/CharSequence/length() android/content/Context/getTheme() android/text/SpannableString/SpannableString(java.lang.CharSequence) android/util/TypedValue/TypedValue() android/content/res/Resources/getColorStateList(int) android/text/SpannableString/setSpan(java.lang.Object,int,int,int) android/content/Context/getResources() android/content/res/Resources$Theme/resolveAttribute(int,android.util.TypedValue,boolean'
'ndroid/support/v7/widget/a/a(java.lang.String)','android/util/Log/w(java.lang.String,java.lang.String) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/content/Context/getPackageName() java/lang/String/length() java/lang/String/equals(java.lang.Object) java/lang/StringBuilder/StringBuilder() android/net/Uri/parse(java.lang.String) android/content/res/Resources/getDrawable(int) java/lang/Integer/parseInt(java.lang.String) java/lang/StringBuilder/toString() android/content/Context/getResources('
