@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/sufficientlysecure/rootcommands/Shell/writeCommands()','java/util/List/size() java/io/DataOutputStream/flush() java/util/List/get(int) java/lang/String/getBytes() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(int) java/io/DataOutputStream/close() java/util/logging/Logger/log(java.util.logging.Level,java.lang.String) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String,java.lang.Throwable) java/lang/StringBuilder/StringBuilder('
'rg/sufficientlysecure/rootcommands/Shell/readOutput()','java/lang/String/split(java.lang.String) java/util/List/size() java/lang/String/indexOf(java.lang.String) java/io/BufferedReader/readLine() java/util/List/get(int) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String) java/lang/String/substring(int,int) java/lang/String/substring(int) java/lang/Integer/parseInt(java.lang.String) java/lang/Process/waitFor('
'rg/projectmaxs/shared/global/util/DialogUtil/displayPackageInstallDialog(java.lang.String,java.lang.String,android.content.Context)','java/lang/StringBuilder/append(java.lang.String) android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/StringBuilder/StringBuilder() android/net/Uri/parse(java.lang.String) android/app/AlertDialog$Builder/setMessage(java.lang.CharSequence) android/app/AlertDialog$Builder/show() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/AlertDialog$Builder/setNeutralButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) java/lang/StringBuilder/toString('
'rg/sufficientlysecure/rootcommands/util/Utils/runWithEnv(java.lang.String,java.util.ArrayList,java.lang.String)','java/util/Iterator/hasNext() java/lang/Runtime/getRuntime() java/util/Map/size() java/util/Iterator/next() java/io/File/File(java.lang.String) java/util/ArrayList/size() java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/util/Map$Entry/getValue() java/util/Map/entrySet() java/util/ArrayList/iterator() java/lang/Runtime/exec(java.lang.String,java.lang.String[],java.io.File) java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/lang/StringBuilder/toString() java/lang/System/getenv('
'rg/projectmaxs/shared/module/SharedLocationUtil/toElements(android.location.Location)','java/lang/Double/toString(double) java/lang/StringBuilder/append(java.lang.String) android/location/Location/getLongitude() android/location/Location/hasAltitude() java/lang/Float/toString(float) android/location/Location/getLatitude() java/util/ArrayList/ArrayList(int) android/location/Location/getProvider() android/location/Location/hasSpeed() android/location/Location/getAccuracy() android/location/Location/getSpeed() java/lang/Long/toString(long) android/location/Location/hasAccuracy() java/lang/StringBuilder/StringBuilder() android/location/Location/getAltitude() java/util/List/add(java.lang.Object) java/lang/StringBuilder/append(char) java/lang/StringBuilder/toString() android/location/Location/getTime('
'rg/projectmaxs/shared/global/aidl/IMAXSOutgoingFileTransferService$Stub$Proxy/outgoingFileTransfer(java.lang.String,long,java.lang.String,java.lang.String)','android/os/Parcel/writeLong(long) android/os/Parcel/writeString(java.lang.String) android/os/Parcelable$Creator/createFromParcel(android.os.Parcel) android/os/Parcel/recycle() android/os/IBinder/transact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/writeInterfaceToken(java.lang.String) android/os/Parcel/obtain() android/os/Parcel/readInt() android/os/Parcel/readException('
'rg/projectmaxs/shared/global/util/ActivityUtil/showSimpleTextView(android.app.Activity,java.lang.CharSequence,int)','android/widget/TextView/setMovementMethod(android.text.method.MovementMethod) android/content/res/Resources/getString(int) android/text/method/LinkMovementMethod/getInstance() android/widget/TextView/setText(java.lang.CharSequence) android/app/AlertDialog/show() android/app/AlertDialog$Builder/setPositiveButton(java.lang.CharSequence,android.content.DialogInterface$OnClickListener) android/widget/TextView/TextView(android.content.Context) android/app/AlertDialog$Builder/setView(android.view.View) android/app/AlertDialog$Builder/create() android/app/AlertDialog$Builder/AlertDialog$Builder(android.content.Context) android/app/Activity/getResources('
'rg/projectmaxs/shared/global/util/PermissionUtil/checkAndRequestIfNecessary(android.content.Context,android.content.Intent)','android/content/Context/getPackageManager() android/content/Context/checkSelfPermission(java.lang.String) android/content/Intent/Intent(android.content.Context,java.lang.Class) android/content/Context/startActivity(android.content.Intent) java/lang/StringBuilder/append(java.lang.String) java/util/List/isEmpty() java/util/List/size() java/lang/StringBuilder/StringBuilder() android/content/pm/PackageManager/getPermissionInfo(java.lang.String,int) java/lang/StringBuilder/toString() java/util/concurrent/atomic/AtomicInteger/incrementAndGet() java/util/Map/put(java.lang.Object,java.lang.Object) java/lang/AssertionError/AssertionError(java.lang.Object) android/content/Context/getPackageName() java/util/List/toArray(java.lang.Object[]) java/util/LinkedList/LinkedList() java/util/List/add(java.lang.Object) java/lang/StringBuilder/append(char) java/lang/Integer/valueOf(int) android/content/Intent/addFlags(int) java/lang/StringBuilder/append(java.lang.Object) android/content/pm/PackageManager/getPackageInfo(java.lang.String,int'
'rg/projectmaxs/shared/global/util/SpannedUtil/createdAboutDialog(android.content.Context,java.lang.String,int,int,int,int,int)','android/content/res/Resources/getString(int) android/content/res/Resources/getText(int) android/text/Html/fromHtml(java.lang.String) android/text/SpannableStringBuilder/SpannableStringBuilder() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.String) android/text/SpannableStringBuilder/append(java.lang.CharSequence) java/lang/StringBuilder/toString() android/content/Context/getResources() java/lang/String/valueOf(int) android/text/SpannableStringBuilder/append(char'
'rg/projectmaxs/shared/module/ILocationFineModuleLocationService$Stub/onTransact(int,android.os.Parcel,android.os.Parcel,int)','android/os/Parcel/writeTypedList(java.util.List) android/os/Parcel/writeNoException() android/os/Parcel/writeString(java.lang.String) org/projectmaxs/shared/module/ILocationFineModuleLocationService$Stub/getCurrentBestLocations() android/location/Location/writeToParcel(android.os.Parcel,int) android/os/Parcel/writeInt(int) org/projectmaxs/shared/module/ILocationFineModuleLocationService$Stub/getCurrentBestLocation() android/os/Binder/onTransact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/enforceInterface(java.lang.String'
'rg/projectmaxs/shared/global/util/PermissionUtil$RequestPermissionDialog/onRequestPermissionsResult(int,java.lang.String[],int[])','org/projectmaxs/shared/global/util/PermissionUtil$RequestPermissionDialog/startService(android.content.Intent) java/lang/StringBuilder/append(java.lang.CharSequence) java/util/ArrayList/ArrayList(int) java/lang/StringBuilder/append(int) android/widget/Toast/makeText(android.content.Context,java.lang.CharSequence,int) java/lang/StringBuilder/StringBuilder() java/lang/Integer/valueOf(int) java/util/Map/remove(java.lang.Object) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/util/List/isEmpty() android/widget/Toast/show() org/projectmaxs/shared/global/util/PermissionUtil$RequestPermissionDialog/finish() java/util/List/add(java.lang.Object) java/lang/StringBuilder/append(char) java/lang/StringBuilder/append(java.lang.Object'
'u/geekplace/iesp/ImportExportSharedPreferences/importFromReader(android.content.SharedPreferences,java.io.Reader)','org/xmlpull/v1/XmlPullParser/getEventType() java/lang/StringBuilder/append(java.lang.String) android/content/SharedPreferences$Editor/commit() org/xmlpull/v1/XmlPullParser/getName() java/lang/String/equals(java.lang.Object) org/xmlpull/v1/XmlPullParser/getText() java/lang/StringBuilder/StringBuilder() android/content/SharedPreferences$Editor/putString(java.lang.String,java.lang.String) java/lang/Long/parseLong(java.lang.String) java/lang/Float/parseFloat(java.lang.String) java/lang/Boolean/parseBoolean(java.lang.String) android/content/SharedPreferences$Editor/putFloat(java.lang.String,float) android/content/SharedPreferences$Editor/putBoolean(java.lang.String,boolean) org/xmlpull/v1/XmlPullParser/setInput(java.io.Reader) android/content/SharedPreferences$Editor/putInt(java.lang.String,int) java/lang/Integer/parseInt(java.lang.String) android/content/SharedPreferences/edit() java/lang/Exception/Exception(java.lang.String) android/util/Xml/newPullParser() org/xmlpull/v1/XmlPullParser/next() android/content/SharedPreferences$Editor/putLong(java.lang.String,long) java/lang/StringBuilder/toString() org/xmlpull/v1/XmlPullParser/getAttributeValue(java.lang.String,java.lang.String'
'u/geekplace/iesp/ImportExportSharedPreferences/export(android.content.SharedPreferences,java.io.Writer,java.util.Set)','org/xmlpull/v1/XmlSerializer/text(java.lang.String) org/xmlpull/v1/XmlSerializer/endTag(java.lang.String,java.lang.String) java/util/Iterator/hasNext() android/util/Xml/newSerializer() java/util/Map$Entry/getKey() org/xmlpull/v1/XmlSerializer/startTag(java.lang.String,java.lang.String) org/xmlpull/v1/XmlSerializer/setFeature(java.lang.String,boolean) org/xmlpull/v1/XmlSerializer/startDocument(java.lang.String,java.lang.Boolean) java/util/Iterator/next() java/util/Set/contains(java.lang.Object) org/xmlpull/v1/XmlSerializer/endDocument() android/content/SharedPreferences/getAll() java/util/Map/entrySet() java/lang/Object/toString() java/lang/Class/getSimpleName() java/io/Writer/close() org/xmlpull/v1/XmlSerializer/setOutput(java.io.Writer) java/lang/Boolean/valueOf(boolean) org/xmlpull/v1/XmlSerializer/attribute(java.lang.String,java.lang.String,java.lang.String) java/util/Set/iterator() java/lang/Object/getClass() java/util/Map$Entry/getValue('
'rg/sufficientlysecure/rootcommands/Toolbox/hasEnoughSpaceOnPartition(java.lang.String,long)','android/os/StatFs/StatFs(java.lang.String) java/io/File/getParent() java/lang/StringBuilder/append(java.lang.String) java/lang/String/toString() java/lang/StringBuilder/StringBuilder() android/os/StatFs/getBlockSize() android/os/StatFs/getAvailableBlocks() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(long) java/io/File/File(java.lang.String) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String,java.lang.Throwable'
