@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/selbie/wrek/ContentDownloader/downloadString(java.lang.String)','java/net/URL/URL(java.lang.String) java/net/HttpURLConnection/setConnectTimeout(int) java/lang/StringBuilder/append(char[],int,int) java/io/BufferedReader/BufferedReader(java.io.Reader) java/net/HttpURLConnection/getInputStream() java/net/HttpURLConnection/connect() java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() java/io/InputStreamReader/InputStreamReader(java.io.InputStream'
'om/koushikdutta/urlimageviewhelper/UrlImageViewHelper$2/run()','java/util/ArrayList/iterator() android/widget/ImageView/setImageDrawable(android.graphics.drawable.Drawable) java/lang/Object/equals(java.lang.Object) java/util/Iterator/hasNext() com/koushikdutta/urlimageviewhelper/DrawableCache/put(java.lang.Object,java.lang.Object) java/lang/String/equals(java.lang.Object) java/lang/AssertionError/AssertionError() java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) android/os/Looper/getMainLooper() java/lang/StringBuilder/append(int) android/os/Looper/myLooper() java/util/Iterator/next() java/util/Hashtable/get(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/util/Hashtable/remove(java.lang.Object'
'om/selbie/wrek/metaproxy/MetaStreamProxySession/startDownload(java.lang.String)','java/net/URL/openConnection() java/util/Iterator/hasNext() java/net/HttpURLConnection/setReadTimeout(int) java/lang/StringBuilder/append(int) android/util/Log/wtf(java.lang.String,java.lang.String) java/lang/String/equals(java.lang.Object) java/util/Set/iterator() java/net/HttpURLConnection/getHeaderField(java.lang.String) java/io/OutputStream/write(byte[]) java/lang/StringBuilder/toString() java/io/IOException/IOException(java.lang.String) java/io/IOException/IOException(java.lang.String,java.lang.Throwable) java/io/InputStream/read(byte[]) java/lang/StringBuilder/append(java.lang.String) java/lang/String/trim() java/util/Map/get(java.lang.Object) java/net/URL/URL(java.lang.String) java/net/HttpURLConnection/getHeaderFields() java/net/HttpURLConnection/setConnectTimeout(int) java/util/Iterator/next() java/util/Map/keySet() java/net/HttpURLConnection/setRequestProperty(java.lang.String,java.lang.String) android/util/Log/e(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String) java/lang/String/getBytes(java.lang.String) java/net/Socket/getOutputStream() java/lang/Integer/parseInt(java.lang.String) java/lang/String/replace(java.lang.CharSequence,java.lang.CharSequence) java/net/HttpURLConnection/getInputStream() java/util/List/iterator() java/net/HttpURLConnection/connect('
'om/selbie/wrek/metaproxy/MetaStreamProxySession/readRequest()','java/util/ArrayList/iterator() java/util/ArrayList/ArrayList() java/util/Iterator/hasNext() java/net/Socket/getInputStream() java/util/Iterator/next() java/util/ArrayList/size() java/util/StringTokenizer/StringTokenizer(java.lang.String) java/util/StringTokenizer/hasMoreTokens() java/util/ArrayList/get(int) java/lang/String/equals(java.lang.Object) java/util/ArrayList/add(java.lang.Object) android/util/Log/d(java.lang.String,java.lang.String) java/io/InputStreamReader/InputStreamReader(java.io.InputStream) java/io/BufferedReader/BufferedReader(java.io.Reader) java/io/BufferedReader/readLine() java/util/StringTokenizer/nextToken('
'om/koushikdutta/urlimageviewhelper/LruCache/trimToSize(int)','java/lang/IllegalStateException/IllegalStateException(java.lang.String) java/util/LinkedHashMap/entrySet() java/util/Iterator/next() java/lang/Class/getName() java/util/Set/iterator() java/lang/StringBuilder/toString() java/util/LinkedHashMap/isEmpty() java/util/LinkedHashMap/remove(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/lang/StringBuilder/StringBuilder() java/lang/Object/getClass() java/util/Map$Entry/getValue('
'om/selbie/wrek/AboutActivity/onCreate(android.os.Bundle)','android/widget/TextView/setMovementMethod(android.text.method.MovementMethod) android/content/res/Resources/getString(int) java/lang/StringBuilder/append(java.lang.String) com/selbie/wrek/AboutActivity/findViewById(int) android/app/Activity/onCreate(android.os.Bundle) java/lang/StringBuilder/StringBuilder() android/widget/TextView/setOnClickListener(android.view.View$OnClickListener) com/selbie/wrek/AboutActivity/getString(int) com/selbie/wrek/AboutActivity/setContentView(int) java/lang/StringBuilder/toString() android/text/Html/fromHtml(java.lang.String) android/text/method/LinkMovementMethod/getInstance() com/selbie/wrek/AboutActivity/getResources() android/os/Bundle/getInt(java.lang.String,int) android/widget/TextView/setText(java.lang.CharSequence'
'om/selbie/wrek/AboutActivity/updateBuildText()','android/content/res/Resources/getDisplayMetrics() android/util/DisplayMetrics/toString() java/lang/StringBuilder/append(java.lang.String) com/selbie/wrek/AboutActivity/findViewById(int) java/lang/StringBuilder/append(int) com/selbie/wrek/AboutActivity/getResources() android/widget/TextView/setText(java.lang.CharSequence) java/lang/StringBuilder/StringBuilder() com/selbie/wrek/AboutActivity/getPackageName() java/lang/StringBuilder/toString('
'om/koushikdutta/urlimageviewhelper/HttpUrlDownloader$1/doInBackground(java.lang.Void[])','java/util/ArrayList/iterator() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Iterator/next() java/net/HttpURLConnection/getHeaderField(java.lang.String) java/net/HttpURLConnection/getInputStream() org/apache/http/NameValuePair/getName() java/lang/StringBuilder/toString() java/lang/Throwable/printStackTrace() java/net/URL/openConnection() java/lang/StringBuilder/append(int) java/net/HttpURLConnection/setInstanceFollowRedirects(boolean) java/net/URL/URL(java.lang.String) java/net/HttpURLConnection/addRequestProperty(java.lang.String,java.lang.String) java/lang/StringBuilder/StringBuilder() java/net/HttpURLConnection/getResponseCode() org/apache/http/NameValuePair/getValue('
'om/selbie/wrek/MediaPlayerPresenter/restartPlayer()','android/media/MediaPlayer/prepareAsync() android/media/MediaPlayer/setDataSource(java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/util/Log/e(java.lang.String,java.lang.String) android/util/Log/e(java.lang.String,java.lang.String,java.lang.Throwable) java/lang/String/isEmpty() java/lang/StringBuilder/StringBuilder() android/util/Log/d(java.lang.String,java.lang.String'
'om/selbie/wrek/metaproxy/MetaStreamProxy/initListenSocket()','java/lang/StringBuilder/append(java.lang.String) java/net/ServerSocket/getLocalPort() java/net/ServerSocket/getLocalSocketAddress() java/net/InetSocketAddress/getAddress() java/net/InetAddress/getHostAddress() java/net/ServerSocket/setSoTimeout(int) java/net/ServerSocket/ServerSocket(int,int,java.net.InetAddress) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString() java/net/InetAddress/getByName(java.lang.String'
